Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,48,10,"municipal council, 0.0241, 7, 28 ; social democracy, 0.0230, 6, 30 ; savings catalog, 0.0213, 5, 7 ; next year, 0.0206, 7, 18 ; electric buses, 0.0176, 3, 13",0.6067,1.0,municipal council ; social democracy ; savings catalog ; next year ; electric buses
reg,49,3,"cultural identity, 0.1958, 3, 19 ; young people, 0.0478, 1, 6 ; starting point, 0.0313, 1, 2 ; lag bornholm, 0.0278, 2, 3 ; jørgen hammer, 0.0265, 2, 3",0.6222,1.0,cultural identity ; young people ; starting point ; lag bornholm ; jørgen hammer
reg,50,1,"savings catalog, 0.1903, 1, 13 ; 000 kroner, 0.1098, 1, 8 ; next year, 0.1015, 1, 10 ; dkk million, 0.0621, 0, 0 ; million kroner, 0.0588, 1, 5",0.8667,1.0,savings catalog ; 000 kroner ; next year ; dkk million ; million kroner
reg,51,1,"hydrogen ammonia, 0.0812, 1, 2 ; large scale, 0.0665, 1, 2 ; district heating, 0.0598, 1, 2 ; surplus heat, 0.0584, 1, 2 ; biogas plant, 0.0456, 1, 1",1.0,1.0,hydrogen ammonia ; large scale ; district heating ; surplus heat ; biogas plant
reg,52,3,"climate plan, 0.2197, 3, 38 ; bornholm climate, 0.0544, 2, 2 ; municipal council, 0.0286, 3, 14 ; environment planning committee, 0.0176, 2, 3 ; nature environment planning, 0.0173, 0, 0",0.8,1.0,climate plan ; bornholm climate ; municipal council ; environment planning committee ; nature environment planning
reg,53,2,"danish nature, 0.0902, 2, 4 ; danish nature conservation, 0.0902, 2, 4 ; conservation association, 0.0888, 2, 4 ; nature conservation association, 0.0888, 2, 4 ; nature conservation, 0.0830, 2, 4",1.0,1.0,danish nature ; danish nature conservation ; conservation association ; nature conservation association ; nature conservation
reg,54,1,"henrik espersen, 0.2872, 1, 11 ; wind turbines, 0.0548, 1, 6 ; offshore wind turbines, 0.0496, 1, 4 ; offshore wind, 0.0489, 1, 6 ; electricity prices, 0.0472, 1, 2",1.0,1.0,henrik espersen ; wind turbines ; offshore wind turbines ; offshore wind ; electricity prices
reg,55,1,"nuclear power, 0.1035, 1, 6 ; offshore wind, 0.0576, 1, 11 ; reader letter, 0.0520, 1, 3 ; wind turbine, 0.0381, 1, 8 ; wind turbine industry, 0.0361, 1, 2",1.0,1.0,nuclear power ; offshore wind ; reader letter ; wind turbine ; wind turbine industry
reg,56,23,"really good, 0.0450, 3, 3 ; labor market, 0.0271, 6, 10 ; young people, 0.0233, 5, 24 ; green transition, 0.0136, 11, 31 ; skilled workers, 0.0128, 2, 2",0.2261,1.0,really good ; labor market ; young people ; green transition ; skilled workers
reg,57,2,"offshore wind, 0.0770, 2, 26 ; nuclear power, 0.0732, 1, 10 ; offshore wind turbines, 0.0727, 2, 17 ; wind turbines, 0.0715, 2, 23 ; wind turbine, 0.0296, 2, 29",0.8667,1.0,offshore wind ; nuclear power ; offshore wind turbines ; wind turbines ; wind turbine
reg,58,2,"fossil fuels, 0.1113, 2, 4 ; first time, 0.0834, 2, 3 ; renewable energy, 0.0743, 2, 4 ; energy solutions, 0.0320, 1, 1 ; 30 years, 0.0306, 1, 1",0.9,1.0,fossil fuels ; first time ; renewable energy ; energy solutions ; 30 years
reg,59,1,"elderly care, 0.0886, 1, 4 ; new year, 0.0790, 1, 5 ; skilled workers, 0.0699, 1, 3 ; looking forward, 0.0377, 1, 2 ; look forward, 0.0342, 1, 2",1.0,1.0,elderly care ; new year ; skilled workers ; looking forward ; look forward
reg,60,1,"says peter, 0.2358, 1, 6 ; electric cars, 0.1324, 1, 3 ; general meeting, 0.1232, 1, 3 ; question whether, 0.0862, 1, 2 ; association bornholm, 0.0458, 1, 1",1.0,1.0,says peter ; electric cars ; general meeting ; question whether ; association bornholm
reg,61,9,"anne thomas, 0.0802, 6, 62 ; social democracy, 0.0542, 9, 47 ; top candidate, 0.0426, 5, 23 ; says anne thomas, 0.0338, 3, 25 ; says anne, 0.0327, 3, 25",0.6667,1.0,anne thomas ; social democracy ; top candidate ; says anne thomas ; says anne
