topic_int,TF-IDF,Most Occuring BERTopic Name
0,energi island,"35, hous, mayor, municip, archaeologist"
1,wind farm,"10, control, convert, grid, hvdc"
2,offshor wind,"0, bornholm, energi, say, island"
3,wind turbin,"17, hydrogen, connect, wind, energi"
4,municip council,"11, busi, compani, bornholm, municip"
5,renew energi,"14, renew, system, energi, water"
6,energiø bornholm,"2, energi, wind, bornholm, project"
7,north sea,"3, co2, heat, bioga, rvv"
8,offshor wind farm,"8, energi, wind, 2030, island"
9,power system,"6, comput, quantum, system, model"
