Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,2,6,10.689371,-0.37357774,"000 tonnes, 0.0298, 8, 19 ; million tonnes, 0.0227, 2, 10 ; green fuels, 0.0210, 8, 29 ; natural gas, 0.0193, 3, 14 ; solar cell, 0.0184, 2, 12",0.2963,1.0,000 tonnes ; million tonnes ; green fuels ; natural gas ; solar cell
reg,4,3,7.9072433,0.12323932,"green power, 0.0283, 17, 68 ; 70 percent, 0.0194, 12, 25 ; climate council, 0.0176, 8, 28 ; electricity consumption, 0.0144, 9, 33 ; million tonnes, 0.0144, 3, 5",0.5651,1.0,green power ; 70 percent ; climate council ; electricity consumption ; million tonnes
reg,5,3,10.428984,0.4250402,"nuclear power, 0.0333, 4, 48 ; co2 emissions, 0.0205, 12, 29 ; electric cars, 0.0182, 4, 13 ; paris agreement, 0.0138, 3, 12 ; green hydrogen, 0.0127, 7, 18",0.248,1.0,nuclear power ; co2 emissions ; electric cars ; paris agreement ; green hydrogen
reg,6,14,9.037115,0.25167483,"state aid, 0.0194, 19, 56 ; energy islands bornholm, 0.0174, 30, 149 ; islands bornholm, 0.0174, 30, 149 ; danish energy agency, 0.0136, 24, 72 ; energy agency, 0.0134, 24, 72",0.6444,1.0,state aid ; energy islands bornholm ; islands bornholm ; danish energy agency ; energy agency
reg,7,2,9.254688,0.12396535,"environmental impact, 0.0726, 6, 18 ; baltic sea, 0.0681, 4, 25 ; marine environment, 0.0516, 4, 9 ; environmental assessment, 0.0443, 3, 14 ; bornholm zealand, 0.0371, 3, 8",0.7444,1.0,environmental impact ; baltic sea ; marine environment ; environmental assessment ; bornholm zealand
reg,9,3,11.07098,-0.3285063,"municipal elections, 0.1493, 1, 1 ; election campaign, 0.1388, 1, 1 ; climate action, 0.0879, 2, 2 ; make possible, 0.0848, 2, 2 ; new year, 0.0813, 2, 2",0.4667,1.0,municipal elections ; election campaign ; climate action ; make possible ; new year
reg,10,17,9.694884,-0.11945173,"rønne harbor, 0.0316, 10, 48 ; thomas bendtsen, 0.0254, 3, 21 ; offshore wind, 0.0194, 17, 126 ; wind turbine, 0.0171, 19, 96 ; wind turbines, 0.0169, 16, 62",0.5302,1.0,rønne harbor ; thomas bendtsen ; offshore wind ; wind turbine ; wind turbines
reg,11,12,12.047256,0.3116147,"labor market, 0.0719, 8, 25 ; skilled workers, 0.0357, 4, 10 ; young people, 0.0323, 6, 10 ; danish business, 0.0247, 3, 6 ; bornholm companies, 0.0229, 5, 17",0.4359,1.0,labor market ; skilled workers ; young people ; danish business ; bornholm companies
reg,12,37,10.979069,-0.67311114,"baltic sea, 0.0184, 20, 42 ; press release, 0.0147, 11, 28 ; green energy, 0.0118, 19, 53 ; center bornholm, 0.0117, 11, 33 ; business center, 0.0117, 7, 26",0.4035,1.0,baltic sea ; press release ; green energy ; center bornholm ; business center
reg,13,12,8.815259,0.18164125,"danish energy agency, 0.0287, 17, 86 ; energy agency, 0.0285, 17, 86 ; danish energy, 0.0277, 17, 88 ; wind turbines, 0.0205, 17, 96 ; converter stations, 0.0123, 2, 8",0.7619,1.0,danish energy agency ; energy agency ; danish energy ; wind turbines ; converter stations
