Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,25,0.96178997,5.795879,"north sea, 0.0268, 23, 110 ; artificial island, 0.0208, 14, 33 ; wind turbines, 0.0183, 24, 72 ; 10 gw, 0.0175, 12, 28 ; offshore wind, 0.0168, 25, 159",0.6713,1.0,north sea ; artificial island ; wind turbines ; 10 gw ; offshore wind
pro,1,16,1.8798578,5.6043415,"offshore wind, 0.0202, 24, 163 ; european commission, 0.0139, 6, 18 ; gw offshore, 0.0115, 11, 25 ; oil gas, 0.0107, 2, 7 ; danish energy, 0.0101, 13, 34",0.4974,1.0,offshore wind ; european commission ; gw offshore ; oil gas ; danish energy
pro,2,12,2.0608141,6.3292584,"000 tonnes, 0.0299, 8, 19 ; million tonnes, 0.0235, 2, 10 ; green fuels, 0.0210, 8, 29 ; solar cell, 0.0191, 2, 12 ; natural gas, 0.0189, 3, 14",0.2926,1.0,000 tonnes ; million tonnes ; green fuels ; solar cell ; natural gas
pro,3,8,2.1488929,5.3281054,"electricity grid, 0.0620, 7, 39 ; jacob østergaard, 0.0444, 4, 22 ; electricity system, 0.0306, 6, 15 ; says jacob, 0.0225, 4, 14 ; wind turbine, 0.0194, 8, 33",0.7083,1.0,electricity grid ; jacob østergaard ; electricity system ; says jacob ; wind turbine
pro,4,18,2.2372847,5.6779666,"green power, 0.0281, 17, 68 ; 70 percent, 0.0193, 12, 25 ; climate council, 0.0177, 8, 28 ; million tonnes, 0.0144, 3, 5 ; electricity consumption, 0.0144, 9, 33",0.546,1.0,green power ; 70 percent ; climate council ; million tonnes ; electricity consumption
pro,5,22,2.4657426,6.0734406,"nuclear power, 0.0334, 4, 48 ; co2 emissions, 0.0205, 12, 29 ; electric cars, 0.0182, 4, 13 ; paris agreement, 0.0138, 3, 12 ; green hydrogen, 0.0123, 7, 18",0.248,1.0,nuclear power ; co2 emissions ; electric cars ; paris agreement ; green hydrogen
pro,6,25,1.2831752,4.7731705,"state aid, 0.0191, 19, 56 ; energy islands bornholm, 0.0171, 30, 149 ; islands bornholm, 0.0171, 30, 149 ; danish energy agency, 0.0135, 24, 72 ; energy agency, 0.0133, 24, 72",0.6444,1.0,state aid ; energy islands bornholm ; islands bornholm ; danish energy agency ; energy agency
pro,7,4,0.7925622,5.3368464,"environmental impact, 0.0715, 6, 18 ; baltic sea, 0.0680, 4, 25 ; marine environment, 0.0504, 4, 9 ; environmental assessment, 0.0437, 3, 14 ; bornholm zealand, 0.0371, 3, 8",0.7444,1.0,environmental impact ; baltic sea ; marine environment ; environmental assessment ; bornholm zealand
pro,8,3,1.9467299,5.3194456,"data center, 0.3325, 3, 53 ; data centers, 0.1353, 3, 17 ; energy island north, 0.0331, 3, 6 ; island north, 0.0311, 3, 6 ; island north sea, 0.0311, 3, 6",1.0,1.0,data center ; data centers ; energy island north ; island north ; island north sea
pro,10,4,0.7473266,5.8949566,"rønne harbor, 0.0317, 10, 48 ; thomas bendtsen, 0.0254, 3, 21 ; offshore wind, 0.0198, 17, 126 ; wind turbine, 0.0172, 19, 96 ; wind turbines, 0.0171, 16, 62",0.5302,1.0,rønne harbor ; thomas bendtsen ; offshore wind ; wind turbine ; wind turbines
