cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
10,17,1,4,"north sea, 0.0407, 20, 128 ; island north, 0.0182, 15, 34 ; island north sea, 0.0182, 15, 34 ; energy islands north, 0.0138, 10, 26 ; islands north sea, 0.0136, 10, 26",0.7121,1.0,north sea ; island north ; island north sea ; energy islands north ; islands north sea
11,11,9,0,"open door, 0.0163, 4, 25 ; one must, 0.0157, 5, 8 ; state aid, 0.0127, 6, 13 ; 10 million, 0.0124, 2, 4 ; danish energy agency, 0.0114, 9, 33",0.2367,1.0,open door ; one must ; state aid ; 10 million ; danish energy agency
12,13,2,0,"offshore wind, 0.0305, 15, 98 ; danish energy, 0.0246, 11, 26 ; danish energy agency, 0.0226, 8, 23 ; energy agency, 0.0224, 8, 23 ; wind turbines, 0.0208, 13, 41",0.7644,1.0,offshore wind ; danish energy ; danish energy agency ; energy agency ; wind turbines
13,3,0,0,"green fuels, 0.0692, 2, 12 ; green hydrogen, 0.0677, 1, 9 ; says henrik, 0.0239, 1, 2 ; million dkk, 0.0226, 0, 0 ; per cent, 0.0205, 1, 2",0.4,1.0,green fuels ; green hydrogen ; says henrik ; million dkk ; per cent
14,3,0,0,"data center, 0.3339, 3, 53 ; data centers, 0.1359, 3, 17 ; energy island north, 0.0330, 3, 6 ; island north, 0.0310, 3, 6 ; island north sea, 0.0310, 3, 6",1.0,1.0,data center ; data centers ; energy island north ; island north ; island north sea
15,9,51,0,"islands bornholm, 0.0247, 48, 264 ; energy islands bornholm, 0.0245, 48, 264 ; energy islands, 0.0183, 58, 378 ; søren møller christensen, 0.0065, 10, 37 ; møller christensen, 0.0065, 10, 37",0.7067,1.0,islands bornholm ; energy islands bornholm ; energy islands ; søren møller christensen ; møller christensen
16,0,25,0,"center bornholm, 0.0347, 13, 57 ; business center, 0.0306, 10, 44 ; business center bornholm, 0.0288, 10, 41 ; bornholm companies, 0.0216, 12, 33 ; press release, 0.0180, 7, 19",0.4427,1.0,center bornholm ; business center ; business center bornholm ; bornholm companies ; press release
17,0,12,0,"baltic sea, 0.0545, 10, 40 ; rønne harbor, 0.0454, 8, 20 ; thomas bendtsen, 0.0307, 2, 10 ; wind turbines, 0.0185, 8, 27 ; gas station, 0.0164, 3, 7",0.5944,1.0,baltic sea ; rønne harbor ; thomas bendtsen ; wind turbines ; gas station
18,0,5,0,"district heating, 0.0572, 4, 13 ; waste heat, 0.0350, 2, 7 ; year ago, 0.0301, 1, 2 ; heat pumps, 0.0290, 2, 5 ; surplus heat, 0.0271, 2, 11",0.4933,1.0,district heating ; waste heat ; year ago ; heat pumps ; surplus heat
19,0,5,0,"jens hjul, 0.0811, 3, 20 ; jens hjul nielsen, 0.0737, 0, 0 ; hjul nielsen, 0.0737, 0, 0 ; campus bornholm, 0.0611, 1, 6 ; electricity network, 0.0370, 2, 5",0.2533,1.0,jens hjul ; jens hjul nielsen ; hjul nielsen ; campus bornholm ; electricity network
20,0,9,0,"social democracy, 0.0458, 6, 29 ; election campaign, 0.0456, 4, 13 ; peter juel jensen, 0.0399, 0, 0 ; juel jensen, 0.0396, 0, 0 ; peter juel, 0.0396, 4, 23",0.3704,1.0,social democracy ; election campaign ; peter juel jensen ; juel jensen ; peter juel
21,1,47,1,"land plant, 0.0225, 25, 82 ; land facility, 0.0109, 24, 47 ; consultation response, 0.0095, 9, 18 ; green energy, 0.0095, 18, 33 ; land facilities, 0.0091, 8, 9",0.3973,1.0,land plant ; land facility ; consultation response ; green energy ; land facilities
22,0,10,0,"land facility, 0.0429, 8, 16 ; high voltage, 0.0407, 4, 5 ; architectural competition, 0.0331, 3, 12 ; fridrik adamsson, 0.0262, 2, 8 ; søgaard mikkelsen, 0.0258, 3, 8",0.48,1.0,land facility ; high voltage ; architectural competition ; fridrik adamsson ; søgaard mikkelsen
23,4,16,0,"magnus brogaard, 0.0139, 6, 26 ; offshore wind, 0.0117, 17, 126 ; cip foundation, 0.0099, 1, 10 ; 000 tonnes, 0.0085, 3, 8 ; offshore wind farms, 0.0084, 13, 52",0.4,1.0,magnus brogaard ; offshore wind ; cip foundation ; 000 tonnes ; offshore wind farms
24,0,14,0,"social democracy, 0.0620, 11, 92 ; people meeting, 0.0487, 0, 0 ; municipal council, 0.0337, 10, 52 ; group chairman, 0.0198, 8, 19 ; larsen jensen, 0.0184, 0, 0",0.481,1.0,social democracy ; people meeting ; municipal council ; group chairman ; larsen jensen
25,1,53,0,"municipal council, 0.0194, 24, 100 ; energy island, 0.0158, 54, 400 ; election campaign, 0.0113, 3, 8 ; jacob trøst, 0.0106, 23, 49 ; social democracy, 0.0094, 12, 82",0.4975,1.0,municipal council ; energy island ; election campaign ; jacob trøst ; social democracy
26,0,28,0,"really good, 0.0349, 1, 1 ; business park, 0.0281, 13, 87 ; energy parks, 0.0150, 6, 20 ; center bornholm, 0.0128, 7, 18 ; green business, 0.0100, 10, 31",0.2357,1.0,really good ; business park ; energy parks ; center bornholm ; green business
27,0,21,0,"climate plan, 0.0289, 2, 25 ; lars aagaard, 0.0208, 10, 27 ; jacob trøst, 0.0185, 12, 36 ; morten riis, 0.0143, 1, 10 ; climate energy, 0.0127, 5, 7",0.2952,1.0,climate plan ; lars aagaard ; jacob trøst ; morten riis ; climate energy
