cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
21,1,47,1,"land plant, 0.0225, 25, 82 ; land facility, 0.0109, 24, 47 ; consultation response, 0.0095, 9, 18 ; green energy, 0.0095, 18, 33 ; land facilities, 0.0081, 8, 9",0.3973,1.0,land plant ; land facility ; consultation response ; green energy ; land facilities
22,0,10,0,"land facility, 0.0422, 8, 16 ; architectural competition, 0.0407, 3, 12 ; fridrik adamsson, 0.0331, 2, 8 ; kim søgaard mikkelsen, 0.0262, 3, 8 ; took place, 0.0262, 3, 4",0.4467,1.0,land facility ; architectural competition ; fridrik adamsson ; kim søgaard mikkelsen ; took place
23,4,16,0,"magnus brogaard, 0.0137, 6, 26 ; cip foundation, 0.0116, 1, 10 ; 000 tonnes, 0.0099, 3, 8 ; copenhagen infrastructure partners, 0.0087, 10, 13 ; offshore wind farms, 0.0085, 13, 52",0.2533,1.0,magnus brogaard ; cip foundation ; 000 tonnes ; copenhagen infrastructure partners ; offshore wind farms
24,0,14,0,"social democracy, 0.0641, 11, 92 ; people meeting, 0.0487, 0, 0 ; municipal council, 0.0351, 10, 52 ; group chairman, 0.0205, 8, 19 ; rené danielsson, 0.0194, 3, 14",0.4952,1.0,social democracy ; people meeting ; municipal council ; group chairman ; rené danielsson
25,1,53,0,"municipal council, 0.0193, 24, 100 ; election campaign, 0.0157, 3, 8 ; social democracy, 0.0113, 12, 82 ; morten riis, 0.0105, 4, 25 ; municipal elections, 0.0092, 1, 1",0.2185,1.0,municipal council ; election campaign ; social democracy ; morten riis ; municipal elections
26,0,28,0,"really good, 0.0349, 1, 1 ; energy parks, 0.0275, 6, 20 ; business center bornholm, 0.0147, 7, 11 ; business development, 0.0127, 7, 9 ; green business park, 0.0099, 9, 30",0.1738,0.0,really good ; energy parks ; business center bornholm ; business development ; green business park
27,0,21,0,"climate plan, 0.0294, 2, 25 ; morten riis, 0.0209, 1, 10 ; climate energy supply, 0.0186, 1, 1 ; jacob consolation, 0.0144, 7, 21 ; says morten, 0.0127, 1, 6",0.1016,0.0,climate plan ; morten riis ; climate energy supply ; jacob consolation ; says morten
28,1,17,2,"electricity prices, 0.0417, 7, 10 ; bornholm electricity grid, 0.0359, 12, 35 ; net east, 0.0322, 6, 15 ; connected energy, 0.0240, 8, 11 ; price zone, 0.0235, 3, 28",0.4,1.0,electricity prices ; bornholm electricity grid ; net east ; connected energy ; price zone
29,0,14,0,"local plan, 0.0262, 6, 14 ; land plant, 0.0241, 9, 23 ; frederik tolstrup, 0.0193, 1, 8 ; kim søgaard mikkelsen, 0.0185, 4, 9 ; land facility, 0.0185, 8, 17",0.4048,1.0,local plan ; land plant ; frederik tolstrup ; kim søgaard mikkelsen ; land facility
30,0,10,0,"security policy, 0.0905, 6, 18 ; critical infrastructure, 0.0568, 2, 5 ; baltic bridge, 0.0346, 4, 11 ; war ukraine, 0.0329, 4, 8 ; baltic sea region, 0.0185, 5, 6",0.42,1.0,security policy ; critical infrastructure ; baltic bridge ; war ukraine ; baltic sea region
