Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,54,6,"cultural identity, 0.0500, 2, 16 ; business fund, 0.0449, 2, 27 ; bornholm business fund, 0.0353, 2, 17 ; total dkk, 0.0279, 2, 13 ; companies received, 0.0265, 2, 16",0.3333,1.0,cultural identity ; business fund ; bornholm business fund ; total dkk ; companies received
reg,55,4,"bornholm agriculture, 0.0758, 1, 1 ; food school, 0.0713, 3, 26 ; part energy, 0.0597, 1, 1 ; consultation response, 0.0550, 2, 2 ; søren schow, 0.0542, 3, 24",0.45,1.0,bornholm agriculture ; food school ; part energy ; consultation response ; søren schow
reg,56,18,"business park, 0.0333, 11, 67 ; ole sonne, 0.0228, 1, 11 ; danish people party, 0.0179, 0, 0 ; danish people, 0.0179, 12, 29 ; people party, 0.0172, 0, 0",0.3074,1.0,business park ; ole sonne ; danish people party ; danish people ; people party
reg,57,31,"wind turbines, 0.0159, 24, 67 ; island new, 0.0121, 0, 0 ; electricity prices, 0.0112, 4, 10 ; nuclear power, 0.0110, 3, 17 ; new local, 0.0081, 1, 1",0.2989,1.0,wind turbines ; island new ; electricity prices ; nuclear power ; new local
reg,58,3,"20 billion, 0.0736, 3, 14 ; 15 20, 0.0619, 3, 8 ; says frederik, 0.0454, 1, 4 ; energy islands bornholm, 0.0274, 3, 24 ; islands bornholm, 0.0274, 3, 24",0.8667,1.0,20 billion ; 15 20 ; says frederik ; energy islands bornholm ; islands bornholm
reg,59,9,"det er, 0.0230, 1, 13 ; education bornholm, 0.0158, 0, 0 ; first foremost, 0.0156, 2, 2 ; new local, 0.0153, 1, 1 ; tv2 bornholm, 0.0152, 0, 0",0.0963,0.0,det er ; education bornholm ; first foremost ; new local ; tv2 bornholm
reg,60,12,"linked energy island, 0.0158, 3, 3 ; linked energy, 0.0158, 3, 3 ; mette frederiksen, 0.0141, 1, 2 ; energy island, 0.0134, 12, 71 ; prime minister, 0.0133, 1, 2",0.3056,1.0,linked energy island ; linked energy ; mette frederiksen ; energy island ; prime minister
reg,61,10,"anne thomas, 0.0366, 3, 34 ; social democracy, 0.0350, 6, 55 ; froberg dahl, 0.0340, 2, 16 ; top candidate, 0.0214, 4, 20 ; unity list, 0.0199, 3, 35",0.3733,1.0,anne thomas ; social democracy ; froberg dahl ; top candidate ; unity list
sci,0,35,"low frequency, 0.0111, 3, 4 ; ac grid, 0.0105, 7, 14 ; dc grid, 0.0100, 8, 15 ; hvdc transmission, 0.0095, 6, 8 ; dc voltage, 0.0089, 6, 14",0.1619,0.0,low frequency ; ac grid ; dc grid ; hvdc transmission ; dc voltage
sci,1,9,"sustainable energy, 0.0699, 5, 5 ; renewable energy, 0.0455, 6, 14 ; supply chain, 0.0297, 2, 4 ; taylor francis group, 0.0288, 0, 0 ; francis group, 0.0288, 1, 1",0.4148,1.0,sustainable energy ; renewable energy ; supply chain ; taylor francis group ; francis group
sci,2,5,"district heating, 0.0500, 1, 4 ; energy system, 0.0416, 3, 7 ; north sea, 0.0410, 3, 8 ; energy supply, 0.0313, 1, 2 ; point view, 0.0240, 2, 2",0.4,1.0,district heating ; energy system ; north sea ; energy supply ; point view
sci,3,2,"renewable energies, 0.1727, 1, 2 ; power plant, 0.1705, 1, 5 ; renewable sources, 0.0870, 1, 1 ; sustainable energy, 0.0741, 1, 1 ; energy sources, 0.0546, 1, 1",0.5,1.0,renewable energies ; power plant ; renewable sources ; sustainable energy ; energy sources
sci,4,18,"fault ride, 0.0142, 4, 7 ; vsc hvdc, 0.0130, 0, 0 ; grid forming, 0.0102, 1, 1 ; side converters, 0.0099, 2, 6 ; offshore converter, 0.0093, 3, 5",0.1111,0.0,fault ride ; vsc hvdc ; grid forming ; side converters ; offshore converter
sci,5,5,"energy islanded, 0.0939, 2, 3 ; power network, 0.0851, 1, 3 ; energy potential, 0.0509, 1, 2 ; control loop, 0.0405, 2, 5 ; power reference, 0.0345, 2, 5",0.3067,1.0,energy islanded ; power network ; energy potential ; control loop ; power reference
sci,6,6,"energy island, 0.1814, 3, 3 ; wave energy, 0.1684, 2, 4 ; qd growth, 0.1467, 1, 6 ; energy energy, 0.1051, 0, 0 ; arc shaped, 0.0625, 0, 0",0.2889,1.0,energy island ; wave energy ; qd growth ; energy energy ; arc shaped
sci,7,19,"hydrogen production, 0.0422, 11, 23 ; green hydrogen, 0.0361, 9, 18 ; green hydrogen production, 0.0188, 6, 9 ; production costs, 0.0180, 3, 6 ; hydrogen price, 0.0156, 3, 6",0.414,1.0,hydrogen production ; green hydrogen ; green hydrogen production ; production costs ; hydrogen price
sci,8,3,"hainan island, 0.2681, 1, 5 ; integrated development, 0.0672, 1, 4 ; hainan province, 0.0672, 1, 8 ; energy carbon emissions, 0.0627, 1, 7 ; energy carbon, 0.0587, 1, 7",0.3333,1.0,hainan island ; integrated development ; hainan province ; energy carbon emissions ; energy carbon
sci,9,16,"energy island, 0.0703, 6, 18 ; offshore wind, 0.0172, 10, 27 ; solar wind, 0.0168, 0, 0 ; wind park, 0.0166, 3, 7 ; 2017 ieee, 0.0141, 1, 1",0.3208,1.0,energy island ; offshore wind ; solar wind ; wind park ; 2017 ieee
sci,10,11,"paper introduces, 0.0521, 1, 1 ; energy community, 0.0500, 1, 4 ; energy systems, 0.0450, 2, 3 ; numerical simulation, 0.0435, 2, 3 ; energy islands, 0.0304, 5, 6",0.1455,0.0,paper introduces ; energy community ; energy systems ; numerical simulation ; energy islands
sci,11,8,"wastewater treatment, 0.0559, 1, 1 ; pilot sites, 0.0499, 2, 7 ; energy islands, 0.0445, 4, 8 ; cost savings, 0.0428, 1, 1 ; renewable sources, 0.0404, 1, 2",0.2333,1.0,wastewater treatment ; pilot sites ; energy islands ; cost savings ; renewable sources
sci,12,2,"north sea, 0.4673, 2, 5 ; energy island, 0.2026, 2, 5 ; co2 emission, 0.2009, 1, 2 ; energy islands, 0.0930, 1, 2",0.85,1.0,north sea ; energy island ; co2 emission ; energy islands
sci,13,4,"transmission grid, 0.1006, 3, 20 ; harmonic distortion, 0.0782, 3, 10 ; 400 kv, 0.0606, 3, 8 ; renewable energy, 0.0478, 3, 5 ; harmonic voltage distortion, 0.0412, 3, 6",0.75,1.0,transmission grid ; harmonic distortion ; 400 kv ; renewable energy ; harmonic voltage distortion
sci,14,3,"wave energy, 0.0958, 1, 3 ; water cycle, 0.0900, 2, 7 ; 100 renewable energy, 0.0634, 0, 0 ; 100 renewable, 0.0621, 0, 0 ; renewable energy island, 0.0572, 3, 4",0.3556,1.0,wave energy ; water cycle ; 100 renewable energy ; 100 renewable ; renewable energy island
