cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
31,0,12,0,"united states, 0.0528, 4, 12 ; baltic sea, 0.0467, 7, 45 ; security policy, 0.0432, 5, 17 ; critical infrastructure, 0.0297, 4, 8 ; juel jensen, 0.0292, 0, 0",0.3944,1.0,united states ; baltic sea ; security policy ; critical infrastructure ; juel jensen
32,1,36,0,"energy parks, 0.0093, 5, 18 ; regional municipality, 0.0084, 20, 51 ; energy islands bornholm, 0.0067, 25, 89 ; islands bornholm, 0.0067, 25, 89 ; jacob trøst, 0.0064, 14, 32",0.4396,1.0,energy parks ; regional municipality ; energy islands bornholm ; islands bornholm ; jacob trøst
33,1,38,0,"rønne harbor, 0.0154, 10, 24 ; baltic sea, 0.0109, 23, 50 ; land facilities, 0.0092, 3, 4 ; energy islands bornholm, 0.0088, 20, 65 ; islands bornholm, 0.0087, 20, 65",0.3607,1.0,rønne harbor ; baltic sea ; land facilities ; energy islands bornholm ; islands bornholm
34,1,30,0,"bornholm offshore wind, 0.0305, 1, 1 ; bornholm offshore, 0.0303, 1, 1 ; offshore wind, 0.0162, 28, 240 ; jacob trøst, 0.0090, 12, 39 ; danish energy agency, 0.0085, 14, 50",0.2817,1.0,bornholm offshore wind ; bornholm offshore ; offshore wind ; jacob trøst ; danish energy agency
35,0,9,0,"dkk million, 0.0431, 0, 0 ; next year, 0.0347, 4, 15 ; ministry interior, 0.0315, 4, 8 ; 000 kroner, 0.0313, 2, 14 ; savings catalog, 0.0286, 3, 16",0.2593,1.0,dkk million ; next year ; ministry interior ; 000 kroner ; savings catalog
36,3,33,0,"energy islands bornholm, 0.0253, 29, 163 ; islands bornholm, 0.0253, 29, 163 ; 10 million, 0.0157, 5, 17 ; energy islands, 0.0146, 32, 207 ; think tank, 0.0109, 13, 18",0.6537,1.0,energy islands bornholm ; islands bornholm ; 10 million ; energy islands ; think tank
37,0,29,0,"social democracy, 0.0284, 17, 96 ; business park, 0.0238, 16, 78 ; søren schow, 0.0201, 10, 59 ; municipal council, 0.0200, 20, 93 ; food school, 0.0184, 7, 32",0.5195,1.0,social democracy ; business park ; søren schow ; municipal council ; food school
38,0,0,10,"transmission grid, 0.1258, 4, 21 ; five years, 0.0844, 1, 2 ; 400 kv, 0.0556, 3, 8 ; wave energy, 0.0500, 1, 1 ; transition energy, 0.0467, 1, 1",0.24,1.0,transmission grid ; five years ; 400 kv ; wave energy ; transition energy
39,0,0,16,"simulation results, 0.0424, 8, 8 ; ac dc, 0.0340, 2, 3 ; vsc hvdc, 0.0331, 0, 0 ; offshore grid, 0.0305, 12, 18 ; grid forming, 0.0296, 1, 1",0.3042,1.0,simulation results ; ac dc ; vsc hvdc ; offshore grid ; grid forming
40,0,0,1,"energy island, 0.9792, 1, 1",1.0,1.0,energy island
41,0,0,16,"renewable energy, 0.0892, 11, 20 ; energy storage, 0.0742, 7, 14 ; energy energy, 0.0632, 1, 1 ; energy conversion, 0.0389, 2, 2 ; power supply, 0.0326, 3, 5",0.3875,1.0,renewable energy ; energy storage ; energy energy ; energy conversion ; power supply
42,0,0,23,"hydrogen production, 0.0705, 12, 27 ; green hydrogen, 0.0658, 12, 21 ; energy system, 0.0436, 10, 21 ; potential energy, 0.0323, 1, 1 ; offshore energy, 0.0272, 6, 8",0.4232,1.0,hydrogen production ; green hydrogen ; energy system ; potential energy ; offshore energy
43,0,0,24,"offshore wind, 0.0566, 16, 37 ; offshore grid, 0.0564, 15, 30 ; north sea, 0.0485, 11, 21 ; large scale, 0.0375, 4, 4 ; hvdc grid, 0.0280, 4, 7",0.5139,1.0,offshore wind ; offshore grid ; north sea ; large scale ; hvdc grid
44,0,0,6,"control strategy, 0.1194, 2, 3 ; new energy, 0.1088, 3, 3 ; reactive power, 0.0888, 3, 4 ; paper proposes, 0.0816, 3, 3 ; energy resources, 0.0565, 2, 2",0.4333,1.0,control strategy ; new energy ; reactive power ; paper proposes ; energy resources
45,0,0,15,"energy system, 0.1234, 4, 12 ; energy storage, 0.0483, 3, 6 ; case studies, 0.0386, 3, 3 ; results show, 0.0366, 5, 5 ; energy consumption, 0.0319, 3, 3",0.24,1.0,energy system ; energy storage ; case studies ; results show ; energy consumption
46,2,0,23,"renewable energy, 0.0369, 9, 16 ; energy hubs, 0.0277, 4, 15 ; offshore grids, 0.0263, 5, 8 ; offshore energy hubs, 0.0248, 4, 13 ; offshore energy, 0.0246, 5, 16",0.2373,1.0,renewable energy ; energy hubs ; offshore grids ; offshore energy hubs ; offshore energy
47,0,0,22,"sustainable energy, 0.0765, 6, 14 ; energy consumption, 0.0608, 3, 11 ; energy islands, 0.0541, 5, 5 ; future energy, 0.0445, 1, 1 ; rights reserved, 0.0393, 6, 6",0.197,0.0,sustainable energy ; energy consumption ; energy islands ; future energy ; rights reserved
48,0,0,1,"important role, 0.2178, 1, 1 ; first time, 0.1943, 1, 1 ; simulation results, 0.1878, 1, 1 ; elsevier ltd, 0.1738, 1, 1 ; long term, 0.1406, 0, 0",0.9333,1.0,important role ; first time ; simulation results ; elsevier ltd ; long term
49,0,0,1,"island energy, 0.3833, 1, 1 ; results show, 0.3404, 1, 1 ; energy island, 0.2499, 1, 2",1.0,1.0,island energy ; results show ; energy island
50,0,0,40,"renewable energy, 0.0814, 30, 54 ; energy systems, 0.0553, 12, 18 ; energy system, 0.0497, 22, 50 ; elsevier ltd, 0.0367, 16, 16 ; energy sources, 0.0341, 13, 18",0.515,1.0,renewable energy ; energy systems ; energy system ; elsevier ltd ; energy sources
51,0,0,1,"elsevier ltd, 0.7111, 1, 1 ; energy island, 0.2629, 0, 0",0.6667,1.0,elsevier ltd ; energy island
52,0,1,12,"energy island, 0.0798, 10, 13 ; energy sources, 0.0488, 5, 7 ; simulation results, 0.0380, 2, 2 ; energy storage, 0.0377, 4, 6 ; renewable energy sources, 0.0335, 4, 5",0.4513,1.0,energy island ; energy sources ; simulation results ; energy storage ; renewable energy sources
53,0,0,23,"paper presents, 0.0496, 8, 8 ; offshore grids, 0.0396, 6, 6 ; simulation results, 0.0373, 5, 5 ; onshore grid, 0.0373, 6, 7 ; grid forming, 0.0327, 2, 2",0.2696,1.0,paper presents ; offshore grids ; simulation results ; onshore grid ; grid forming
54,0,0,9,"energy systems, 0.1461, 3, 3 ; energy production, 0.1052, 4, 4 ; energy island, 0.0771, 7, 14 ; renewable energy, 0.0599, 4, 4 ; support energy, 0.0512, 3, 3",0.4667,1.0,energy systems ; energy production ; energy island ; renewable energy ; support energy
55,0,0,1,"power plant, 0.6370, 1, 5 ; power generation, 0.1555, 1, 1 ; power system, 0.1344, 1, 1 ; energy island, 0.0407, 1, 1",1.0,1.0,power plant ; power generation ; power system ; energy island
56,0,1,16,"offshore grid, 0.0908, 6, 16 ; wave energy, 0.0872, 3, 6 ; really good, 0.0580, 1, 1 ; north sea, 0.0546, 7, 13 ; even though, 0.0411, 1, 1",0.2353,1.0,offshore grid ; wave energy ; really good ; north sea ; even though
57,0,0,13,"sustainable energy, 0.1416, 4, 4 ; renewable energy, 0.0536, 4, 7 ; rights reserved, 0.0480, 5, 5 ; local community, 0.0460, 1, 1 ; energy transition, 0.0450, 6, 7",0.3026,1.0,sustainable energy ; renewable energy ; rights reserved ; local community ; energy transition
58,0,0,24,"vsc hvdc, 0.1011, 1, 2 ; voltage source, 0.0349, 10, 10 ; hvdc transmission, 0.0255, 7, 8 ; source converter, 0.0250, 11, 13 ; direct current, 0.0229, 8, 9",0.2667,1.0,vsc hvdc ; voltage source ; hvdc transmission ; source converter ; direct current
59,0,0,27,"offshore grid, 0.0947, 19, 34 ; offshore wind, 0.0598, 19, 44 ; north sea, 0.0575, 15, 26 ; offshore wind energy, 0.0454, 9, 16 ; wind energy, 0.0362, 9, 19",0.6,1.0,offshore grid ; offshore wind ; north sea ; offshore wind energy ; wind energy
60,0,0,4,"energy system, 0.1500, 1, 2 ; energy production, 0.1290, 1, 1 ; power plants, 0.1159, 1, 1 ; co2 emissions, 0.0942, 2, 3 ; results show, 0.0895, 1, 1",0.2833,1.0,energy system ; energy production ; power plants ; co2 emissions ; results show
61,0,0,40,"offshore grid, 0.0568, 30, 51 ; north sea, 0.0335, 17, 27 ; offshore wind, 0.0333, 28, 56 ; wind farms, 0.0315, 19, 30 ; power system, 0.0239, 13, 20",0.5883,1.0,offshore grid ; north sea ; offshore wind ; wind farms ; power system
62,0,0,6,"wave energy, 0.2100, 3, 4 ; long term, 0.1233, 0, 0 ; elsevier ltd, 0.0884, 2, 2 ; short term, 0.0853, 1, 1 ; oil gas, 0.0768, 1, 2",0.2667,1.0,wave energy ; long term ; elsevier ltd ; short term ; oil gas
63,0,0,12,"wind power, 0.0524, 8, 19 ; dc voltage, 0.0482, 4, 11 ; voltage source converter, 0.0352, 4, 4 ; source converter, 0.0349, 6, 6 ; offshore grid, 0.0345, 11, 16",0.5056,1.0,wind power ; dc voltage ; voltage source converter ; source converter ; offshore grid
64,0,0,22,"offshore ac, 0.0596, 11, 22 ; reactive power, 0.0572, 11, 27 ; power flow, 0.0436, 9, 17 ; wind power plants, 0.0407, 10, 19 ; wind power, 0.0373, 13, 33",0.4818,1.0,offshore ac ; reactive power ; power flow ; wind power plants ; wind power
65,0,0,42,"dc grid, 0.0466, 14, 28 ; multi terminal, 0.0349, 0, 0 ; ac grid, 0.0280, 7, 16 ; offshore grid, 0.0221, 27, 42 ; offshore wind power, 0.0190, 13, 15",0.2508,1.0,dc grid ; multi terminal ; ac grid ; offshore grid ; offshore wind power
66,0,0,10,"long term, 0.1035, 1, 2 ; electricity prices, 0.0724, 1, 1 ; short term, 0.0526, 0, 0 ; case study, 0.0436, 5, 5 ; vsc hvdc, 0.0430, 1, 2",0.1333,0.0,long term ; electricity prices ; short term ; case study ; vsc hvdc
67,0,0,24,"hvdc converter, 0.0534, 10, 16 ; hvdc system, 0.0360, 8, 12 ; hvdc transmission, 0.0334, 4, 5 ; offshore hvdc, 0.0308, 5, 8 ; dc voltage, 0.0305, 3, 5",0.2972,1.0,hvdc converter ; hvdc system ; hvdc transmission ; offshore hvdc ; dc voltage
68,0,0,7,"offshore grid, 0.0829, 4, 5 ; power system, 0.0644, 1, 2 ; case studies, 0.0615, 3, 3 ; offshore wind, 0.0571, 6, 10 ; wind farms, 0.0510, 3, 4",0.4571,1.0,offshore grid ; power system ; case studies ; offshore wind ; wind farms
69,0,0,2,"real time, 0.4978, 1, 1",0.5,1.0,real time
70,0,0,20,"wind power, 0.0779, 10, 37 ; offshore grid, 0.0474, 15, 31 ; wind energy, 0.0469, 12, 16 ; offshore wind, 0.0379, 15, 44 ; renewable energy, 0.0268, 9, 12",0.6167,1.0,wind power ; offshore grid ; wind energy ; offshore wind ; renewable energy
71,0,0,1,"rights reserved, 0.6974, 1, 1 ; energy islands, 0.2791, 0, 0",0.6667,1.0,rights reserved ; energy islands
72,0,0,1,"take place, 0.8433, 1, 2 ; energy island, 0.1346, 0, 0",0.6667,1.0,take place ; energy island
73,0,0,2,"feasibility study, 0.3502, 2, 2 ; power grid, 0.3292, 2, 2 ; natural gas, 0.3168, 2, 2",1.0,1.0,feasibility study ; power grid ; natural gas
74,0,0,1,"offshore grid, 0.9843, 1, 1",1.0,1.0,offshore grid
75,0,0,2,"form basis, 0.3737, 1, 1 ; district heating, 0.1995, 1, 2 ; energy island, 0.1483, 2, 2 ; energy park, 0.1321, 1, 1 ; electricity generation, 0.1208, 1, 1",0.6,1.0,form basis ; district heating ; energy island ; energy park ; electricity generation
76,0,0,1,"preliminary study, 0.5205, 1, 1 ; green energy, 0.3081, 0, 0 ; energy island, 0.1464, 1, 1",0.6667,1.0,preliminary study ; green energy ; energy island
77,0,0,3,"grid frequency, 0.3924, 3, 9 ; wind farm, 0.1347, 3, 5 ; power flow, 0.1158, 3, 3 ; hvdc link, 0.0879, 1, 1 ; offshore grid, 0.0438, 2, 2",0.8889,1.0,grid frequency ; wind farm ; power flow ; hvdc link ; offshore grid
78,0,0,1,"data center, 0.4430, 1, 1 ; 42 000, 0.3482, 0, 0 ; offshore grid, 0.1910, 1, 1",0.6667,1.0,data center ; 42 000 ; offshore grid
79,0,0,1,"energy islands, 0.9842, 1, 1",1.0,1.0,energy islands
80,0,0,1,"offshore grid, 0.9843, 1, 4",1.0,1.0,offshore grid
81,0,0,1,"rights reserved, 0.9931, 1, 1",1.0,1.0,rights reserved
82,0,0,2,"long term, 0.3160, 0, 0 ; one year, 0.2019, 1, 2 ; elsevier ltd, 0.1132, 1, 1 ; rights reserved, 0.0997, 1, 1 ; 20 years, 0.0882, 1, 1",0.3333,1.0,long term ; one year ; elsevier ltd ; rights reserved ; 20 years
83,0,0,1,"energy island, 0.9792, 1, 1",1.0,1.0,energy island
84,0,0,1,"energy island, 0.9792, 0, 0",0.0,0.0,energy island
85,0,0,1,"power production, 0.3676, 1, 1 ; energy consumption, 0.3368, 1, 1 ; power system, 0.2871, 1, 1",1.0,1.0,power production ; energy consumption ; power system
86,0,0,3,"energy islands, 0.4212, 0, 0 ; energy island, 0.3125, 1, 1 ; energy system, 0.2234, 1, 1",0.1667,0.0,energy islands ; energy island ; energy system
87,0,0,1,"short time, 0.6140, 1, 1 ; energy islands, 0.3695, 1, 2",1.0,1.0,short time ; energy islands
88,0,0,2,"offshore grid, 0.4843, 1, 1",0.5,1.0,offshore grid
89,0,0,1,"elsevier ltd, 0.4324, 1, 1 ; rights reserved, 0.3891, 1, 1 ; energy islands, 0.1498, 0, 0",0.8333,1.0,elsevier ltd ; rights reserved ; energy islands
