Group,Rows,Average Score
1,"[64, 66, 3, 67, 68, 40, 73, 75, 81, 21, 57, 59, 63]",2.15
2,"[16, 57, 59, 63]",2.25
3,"[18, 63]",4.5
4,"[64, 66, 67, 68, 40, 73, 75, 81, 21, 57, 59, 63]",1.59
5,"[72, 82, 84, 85, 57, 59, 30, 63]",1.41
6,"[38, 31]",4.5
7,"[64, 66, 67, 68, 73, 75, 49, 81, 57, 59, 63]",1.82
8,"[66, 67]",5.5
9,"[82, 68, 78, 84]",3.0
10,"[70, 73, 75, 77, 81, 87, 88, 89, 90]",3.32
11,"[72, 73, 75, 81, 87, 88, 89]",3.33
12,"[73, 75]",4.5
13,"[89, 81, 76, 87]",3.67
14,"[89, 81, 77, 87]",3.92
15,"[81, 79]",6.0
16,"[80, 81, 87, 89, 92]",3.55
17,"[83, 84, 85]",4.0
18,"[89, 90]",4.5
Unassigned clusters,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 32, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 58, 60, 61, 62, 65, 69, 71, 74, 86, 91]",0.31
