Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,15,1,0.66704935,5.7904267,"local plan, 0.0191, 1, 1 ; energy island, 0.0175, 25, 81 ; get started, 0.0154, 4, 5 ; baltic sea, 0.0132, 9, 16 ; surplus heat, 0.0131, 6, 6",0.376,1.0,local plan ; energy island ; get started ; baltic sea ; surplus heat
pro,16,1,-1.6166022,6.5053616,"election campaign, 0.0357, 5, 23 ; people meeting, 0.0323, 0, 0 ; social democracy, 0.0169, 9, 14 ; labor market, 0.0147, 6, 7 ; looking forward, 0.0145, 5, 6",0.219,1.0,election campaign ; people meeting ; social democracy ; labor market ; looking forward
pro,17,9,1.938042,5.778213,"electrolysis plant, 0.0125, 12, 24 ; klaus vesløv, 0.0079, 2, 16 ; magnus brogaard, 0.0079, 5, 25 ; hydrogen infrastructure, 0.0074, 9, 16 ; hanne storm edlefsen, 0.0069, 3, 16",0.2101,1.0,electrolysis plant ; klaus vesløv ; magnus brogaard ; hydrogen infrastructure ; hanne storm edlefsen
pro,18,3,-0.24785091,5.588773,"transformer station, 0.0196, 13, 39 ; nuclear power, 0.0080, 2, 13 ; plan energy, 0.0074, 4, 9 ; development strategy, 0.0065, 2, 11 ; gas station, 0.0059, 3, 8",0.1978,0.0,transformer station ; nuclear power ; plan energy ; development strategy ; gas station
pro,20,1,2.330026,6.2619367,"municipal council, 0.0173, 8, 22 ; business park, 0.0169, 7, 17 ; climate plan, 0.0150, 1, 14 ; cultural identity, 0.0144, 1, 4 ; bornholm future, 0.0135, 1, 1",0.2056,1.0,municipal council ; business park ; climate plan ; cultural identity ; bornholm future
pro,21,1,-0.84975433,4.335407,"transformer station, 0.0104, 15, 39 ; fridrik adamsson, 0.0103, 6, 21 ; south bornholm, 0.0090, 9, 14 ; land facility, 0.0083, 19, 33 ; energy islands bornholm, 0.0075, 32, 61",0.3039,1.0,transformer station ; fridrik adamsson ; south bornholm ; land facility ; energy islands bornholm
pro,22,8,1.7719728,4.9753866,"net east, 0.0300, 9, 22 ; bornholm electricity grid, 0.0249, 13, 32 ; energy islands bornholm, 0.0225, 20, 57 ; bornholm electricity network, 0.0150, 7, 11 ; price zone, 0.0109, 3, 28",0.3515,1.0,net east ; bornholm electricity grid ; energy islands bornholm ; bornholm electricity network ; price zone
pro,31,1,-0.38201773,6.640397,"energy parks, 0.0093, 5, 18 ; regional municipality, 0.0083, 20, 51 ; energy islands bornholm, 0.0067, 25, 89 ; lars aagaard, 0.0066, 6, 25 ; jacob trøst, 0.0064, 14, 32",0.3712,1.0,energy parks ; regional municipality ; energy islands bornholm ; lars aagaard ; jacob trøst
pro,32,1,0.04201501,6.31917,"rønne harbor, 0.0153, 10, 24 ; baltic sea, 0.0108, 23, 50 ; bornholm offshore wind, 0.0082, 4, 5 ; energy islands bornholm, 0.0082, 20, 65 ; land facilities, 0.0082, 3, 4",0.3368,1.0,rønne harbor ; baltic sea ; bornholm offshore wind ; energy islands bornholm ; land facilities
pro,33,1,-1.4221452,5.8647947,"bornholm offshore wind, 0.0309, 1, 1 ; jacob trøst, 0.0308, 12, 39 ; danish energy agency, 0.0162, 14, 50 ; offshore wind turbines, 0.0090, 18, 43 ; energy parks, 0.0085, 4, 11",0.2903,1.0,bornholm offshore wind ; jacob trøst ; danish energy agency ; offshore wind turbines ; energy parks
pro,35,3,0.29173097,4.503226,"energy islands bornholm, 0.0255, 29, 163 ; 10 million, 0.0255, 5, 17 ; think tank kraka, 0.0158, 12, 14 ; district heating, 0.0147, 4, 20 ; 31 billion, 0.0110, 2, 2",0.3907,1.0,energy islands bornholm ; 10 million ; think tank kraka ; district heating ; 31 billion
pro,45,2,9.236113,7.717052,"renewable energy, 0.0369, 9, 16 ; offshore grids, 0.0277, 5, 8 ; offshore energy hubs, 0.0263, 4, 13 ; north sea, 0.0248, 14, 24 ; climate change, 0.0246, 3, 4",0.288,1.0,renewable energy ; offshore grids ; offshore energy hubs ; north sea ; climate change
reg,0,2,1.1832135,5.930588,"artificial island, 0.0268, 14, 33 ; 10 gw, 0.0208, 12, 28 ; wind turbine power, 0.0183, 6, 8 ; offshore wind farms, 0.0175, 19, 49 ; offshore wind turbines, 0.0168, 16, 33",0.4368,1.0,artificial island ; 10 gw ; wind turbine power ; offshore wind farms ; offshore wind turbines
reg,1,9,1.4634749,5.372848,"european commission, 0.0202, 6, 18 ; oil gas, 0.0139, 2, 7 ; north sea, 0.0115, 14, 48 ; gw offshore wind, 0.0107, 11, 25 ; danish energy agency, 0.0101, 10, 29",0.2872,1.0,european commission ; oil gas ; north sea ; gw offshore wind ; danish energy agency
reg,2,6,1.1712431,6.4812107,"000 tonnes, 0.0299, 8, 19 ; million tonnes, 0.0235, 2, 10 ; green fuels, 0.0210, 8, 29 ; solar cell, 0.0191, 2, 12 ; natural gas, 0.0189, 3, 14",0.2926,1.0,000 tonnes ; million tonnes ; green fuels ; solar cell ; natural gas
reg,4,3,2.5273173,5.759535,"green power, 0.0281, 17, 68 ; climate council, 0.0193, 8, 28 ; million tonnes, 0.0177, 3, 5 ; electricity consumption, 0.0144, 9, 33 ; million ton, 0.0144, 4, 8",0.4698,1.0,green power ; climate council ; million tonnes ; electricity consumption ; million ton
