Group,Rows,Average Score
1,"[1, 66, 5, 39, 75, 12, 46, 48, 80, 81, 51, 83, 53, 84, 93]",2.75
2,"[2, 34, 70, 10, 48]",5.4
3,"[3, 28]",4.5
4,"[65, 5, 70, 12, 48, 81, 51, 83]",3.45
5,"[10, 34, 14]",4.5
6,"[65, 70, 39, 12, 46, 48, 81, 51, 83, 53, 93]",2.94
7,"[65, 34, 69, 70, 74, 77, 15, 48, 49, 51, 85, 54, 55, 57]",4.55
8,"[16, 34]",4.5
9,"[48, 65, 21, 70]",4.17
10,"[34, 47, 48, 49, 51, 52, 54, 55, 57, 61, 63, 65, 67, 68, 69, 70, 74, 77, 85, 94, 97]",3.06
11,"[75, 93, 39]",3.67
12,"[66, 75, 47, 80, 81, 83, 84, 93]",2.27
13,"[48, 65, 70, 55]",5.08
14,"[49, 51, 52, 53, 54, 55, 57, 61, 63, 65, 67, 68, 69, 70, 72, 74, 77, 85, 94, 97, 99]",2.87
15,"[65, 68, 69, 70, 74, 77, 50, 51, 85, 54, 55, 57, 61, 63]",2.86
16,"[51, 95]",5.0
17,"[65, 69, 70, 74, 77, 81, 83, 52, 53, 54, 55, 85, 57]",3.2
18,"[65, 53, 70]",3.33
19,"[65, 57, 54, 70]",2.5
20,"[65, 67, 68, 69, 70, 99, 74, 77, 85, 55, 57, 61, 63]",2.13
21,"[65, 99, 68, 69, 70, 72, 74, 77, 85, 56, 57, 63]",2.52
22,"[65, 97, 68, 69, 70, 72, 74, 77, 85, 58]",2.81
23,"[65, 85, 62, 70]",3.17
24,"[64, 65, 70]",3.33
25,"[65, 75]",4.5
26,"[97, 66, 67, 68, 69, 70, 99, 72, 74, 77, 85, 94]",2.69
27,"[67, 75, 80, 87, 93]",2.4
28,"[68, 70]",5.0
29,"[85, 69, 70]",4.67
30,"[74, 85, 77, 70]",2.25
31,"[97, 99, 71, 72, 74, 77, 85, 94]",2.3
32,"[85, 76, 77]",3.0
33,"[80, 93, 77]",4.17
34,"[99, 78]",4.5
35,"[85, 79]",4.5
36,"[83, 84, 93]",5.0
37,"[89, 85, 95]",3.33
38,"[93, 86]",4.5
39,"[93, 87]",5.0
of Unassigned clusters,"[0, 4, 6, 7, 8, 9, 11, 13, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 59, 60, 73, 82, 88, 90, 91, 92, 96, 98, 100, 101, 102, 103]",0.29
