Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,32,2,-0.8240631,8.831307,"kriegers flak, 0.0537, 1, 6 ; local plan, 0.0329, 6, 48 ; ole sonne, 0.0283, 1, 11 ; land plant, 0.0196, 9, 28 ; high voltage station, 0.0196, 5, 9",0.2444,1.0,kriegers flak ; local plan ; ole sonne ; land plant ; high voltage station
pro,36,2,0.32579175,7.1845155,"baltic energy, 0.0157, 18, 54 ; baltic energy island, 0.0150, 17, 51 ; rønne harbor, 0.0147, 17, 41 ; united states, 0.0115, 2, 8 ; green transition, 0.0080, 17, 38",0.374,1.0,baltic energy ; baltic energy island ; rønne harbor ; united states ; green transition
pro,37,1,-0.3189631,7.771372,"baltic sea, 0.0369, 5, 24 ; submarine cable, 0.0319, 4, 14 ; environmental impact, 0.0307, 4, 17 ; bornholm zealand, 0.0277, 5, 10 ; danish environmental protection, 0.0277, 4, 14",0.4963,1.0,baltic sea ; submarine cable ; environmental impact ; bornholm zealand ; danish environmental protection
pro,43,2,-1.3517585,7.6916766,"nuclear power, 0.0384, 2, 45 ; says peter, 0.0184, 3, 11 ; energy agency, 0.0172, 6, 26 ; general meeting, 0.0160, 3, 6 ; danish energy agency, 0.0160, 5, 24",0.1889,0.0,nuclear power ; says peter ; energy agency ; general meeting ; danish energy agency
pro,47,1,1.3951831,6.8075285,"energy islands bornholm, 0.0126, 26, 85 ; islands bornholm, 0.0126, 26, 85 ; baltic sea, 0.0120, 18, 36 ; gas station, 0.0110, 5, 7 ; electric cars, 0.0107, 2, 10",0.5405,1.0,energy islands bornholm ; islands bornholm ; baltic sea ; gas station ; electric cars
pro,48,3,0.8520864,6.393336,"offshore wind, 0.0281, 32, 251 ; bornholm offshore wind, 0.0271, 6, 8 ; bornholm offshore, 0.0264, 6, 8 ; offshore wind farm, 0.0141, 28, 97 ; open door, 0.0135, 9, 33",0.5394,1.0,offshore wind ; bornholm offshore wind ; bornholm offshore ; offshore wind farm ; open door
pro,55,2,1.885437,7.1300797,"hydrogen production, 0.0770, 13, 27 ; green hydrogen, 0.0640, 11, 21 ; energy system, 0.0288, 7, 17 ; offshore wind, 0.0222, 15, 33 ; wind power, 0.0218, 6, 13",0.527,1.0,hydrogen production ; green hydrogen ; energy system ; offshore wind ; wind power
pro,57,1,3.311966,6.913909,"energy system, 0.0652, 16, 37 ; renewable energy, 0.0605, 17, 29 ; elsevier ltd, 0.0403, 13, 13 ; energy sources, 0.0360, 9, 11 ; energy transition, 0.0303, 8, 9",0.5071,1.0,energy system ; renewable energy ; elsevier ltd ; energy sources ; energy transition
pro,62,3,2.227988,6.297104,"north sea, 0.1356, 5, 23 ; million ton, 0.0481, 1, 1 ; construction work, 0.0412, 2, 2 ; united states, 0.0411, 1, 1 ; wave energy, 0.0401, 1, 1",0.4222,1.0,north sea ; million ton ; construction work ; united states ; wave energy
pro,66,2,3.8552685,9.271821,"kriegers flak, 0.1068, 5, 15 ; reactive power, 0.0513, 2, 5 ; offshore wind power, 0.0303, 3, 4 ; wind power, 0.0263, 3, 5 ; meshed offshore, 0.0226, 2, 2",0.6667,1.0,kriegers flak ; reactive power ; offshore wind power ; wind power ; meshed offshore
pro,84,1,3.9662647,9.370206,"offshore wind, 0.1071, 8, 39 ; offshore wind energy, 0.1040, 5, 12 ; wind energy, 0.0842, 5, 14 ; north sea, 0.0484, 5, 7 ; oil gas, 0.0406, 3, 3",0.6519,1.0,offshore wind ; offshore wind energy ; wind energy ; north sea ; oil gas
pro,86,5,2.7353826,8.434392,"north sea, 0.0406, 16, 36 ; offshore wind, 0.0300, 15, 40 ; renewable energy, 0.0271, 12, 16 ; offshore grid, 0.0257, 14, 23 ; offshore grids, 0.0190, 5, 7",0.6058,1.0,north sea ; offshore wind ; renewable energy ; offshore grid ; offshore grids
pro,91,2,2.0454743,6.636544,"offshore grid, 0.1417, 25, 59 ; north sea, 0.0627, 18, 40 ; cross border, 0.0172, 0, 0 ; electricity infrastructure, 0.0170, 2, 2 ; transmission system, 0.0169, 6, 8",0.4182,1.0,offshore grid ; north sea ; cross border ; electricity infrastructure ; transmission system
pro,95,1,1.0419452,6.1607866,"offshore grid, 0.3726, 1, 1 ; long term, 0.1235, 0, 0 ; energy projects, 0.0743, 1, 4 ; elsevier ltd, 0.0738, 1, 1 ; rights reserved, 0.0639, 1, 1",0.2444,1.0,offshore grid ; long term ; energy projects ; elsevier ltd ; rights reserved
reg,0,2,1.9725107,7.8883467,"paris agreement, 0.0364, 3, 11 ; co2 emissions, 0.0343, 6, 20 ; 000 tonnes, 0.0231, 2, 9 ; district heating, 0.0213, 5, 21 ; energy efficiency, 0.0204, 7, 12",0.3758,1.0,paris agreement ; co2 emissions ; 000 tonnes ; district heating ; energy efficiency
reg,1,27,0.02016796,6.3287706,"wind turbines, 0.0216, 27, 128 ; offshore wind, 0.0203, 31, 299 ; offshore wind turbines, 0.0148, 24, 67 ; bornholm offshore wind, 0.0134, 1, 1 ; bornholm offshore, 0.0131, 1, 1",0.6549,1.0,wind turbines ; offshore wind ; offshore wind turbines ; bornholm offshore wind ; bornholm offshore
reg,2,9,0.81965315,6.8550663,"north sea, 0.0131, 23, 62 ; 10 gw, 0.0119, 9, 23 ; energy islands, 0.0116, 29, 143 ; sustainable energy, 0.0109, 2, 4 ; island north sea, 0.0107, 14, 19",0.5689,1.0,north sea ; 10 gw ; energy islands ; sustainable energy ; island north sea
reg,3,3,2.2550662,7.493507,"electricity grid, 0.0287, 8, 37 ; co2 emissions, 0.0251, 2, 5 ; electricity consumption, 0.0240, 9, 29 ; electricity generation, 0.0228, 5, 10 ; per cent, 0.0163, 3, 10",0.3259,1.0,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
