cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
21,1,42,0,"transformer station, 0.0104, 15, 39 ; fridrik adamsson, 0.0103, 6, 21 ; south bornholm, 0.0090, 9, 14 ; land facility, 0.0083, 19, 33 ; business park, 0.0075, 12, 55",0.2729,1.0,transformer station ; fridrik adamsson ; south bornholm ; land facility ; business park
22,8,25,0,"electricity grid, 0.0300, 22, 86 ; bornholm electricity, 0.0249, 17, 49 ; net east, 0.0225, 9, 22 ; bornholm electricity grid, 0.0150, 13, 32 ; electricity network, 0.0109, 12, 21",0.4909,1.0,electricity grid ; bornholm electricity ; net east ; bornholm electricity grid ; electricity network
23,0,26,0,"social democracy, 0.0548, 18, 144 ; municipal council, 0.0419, 22, 97 ; unity list, 0.0314, 8, 56 ; morten riis, 0.0162, 6, 20 ; social democratic, 0.0156, 8, 16",0.5692,1.0,social democracy ; municipal council ; unity list ; morten riis ; social democratic
24,0,20,0,"kim søgaard mikkelsen, 0.0246, 7, 18 ; architectural competition, 0.0246, 7, 19 ; land facility, 0.0246, 12, 24 ; local plan, 0.0243, 13, 23 ; cultural identity, 0.0223, 1, 14",0.42,1.0,kim søgaard mikkelsen ; architectural competition ; land facility ; local plan ; cultural identity
25,0,29,0,"land plant, 0.0185, 15, 45 ; land facility, 0.0166, 17, 34 ; young people, 0.0093, 3, 11 ; construction work, 0.0089, 7, 10 ; municipal council, 0.0087, 11, 46",0.4069,1.0,land plant ; land facility ; young people ; construction work ; municipal council
26,0,19,0,"consultation response, 0.0173, 2, 2 ; part energy, 0.0167, 1, 1 ; young people, 0.0131, 2, 14 ; bornholm companies, 0.0107, 5, 8 ; municipal council, 0.0100, 5, 12",0.1228,0.0,consultation response ; part energy ; young people ; bornholm companies ; municipal council
27,0,7,0,"bornholm museum, 0.1648, 7, 34 ; finn ole, 0.0632, 1, 25 ; ole sonne, 0.0433, 1, 19 ; feasibility studies, 0.0297, 3, 6 ; says jacob, 0.0296, 3, 6",0.4857,1.0,bornholm museum ; finn ole ; ole sonne ; feasibility studies ; says jacob
28,0,25,0,"land plant, 0.0241, 14, 39 ; green transition, 0.0132, 8, 19 ; energy islands bornholm, 0.0108, 14, 42 ; electricity prices, 0.0108, 1, 6 ; transformer station, 0.0096, 8, 23",0.4107,1.0,land plant ; green transition ; energy islands bornholm ; electricity prices ; transformer station
29,0,8,1,"energy conversion, 0.0689, 1, 1 ; danish energy agency, 0.0486, 6, 19 ; wind energy, 0.0482, 1, 1 ; civic meeting, 0.0456, 4, 6 ; offshore wind farms, 0.0351, 5, 13",0.3333,1.0,energy conversion ; danish energy agency ; wind energy ; civic meeting ; offshore wind farms
30,0,12,0,"united states, 0.0529, 4, 12 ; baltic sea, 0.0488, 7, 45 ; security policy, 0.0432, 5, 17 ; critical infrastructure, 0.0337, 4, 8 ; peter juel jensen, 0.0292, 0, 0",0.3944,1.0,united states ; baltic sea ; security policy ; critical infrastructure ; peter juel jensen
31,1,36,0,"energy parks, 0.0093, 5, 18 ; regional municipality, 0.0083, 20, 51 ; energy islands bornholm, 0.0067, 25, 89 ; lars aagaard, 0.0066, 6, 25 ; jacob trøst, 0.0064, 14, 32",0.3712,1.0,energy parks ; regional municipality ; energy islands bornholm ; lars aagaard ; jacob trøst
32,1,38,0,"rønne harbor, 0.0153, 10, 24 ; baltic sea, 0.0108, 23, 50 ; bornholm offshore wind, 0.0082, 4, 5 ; energy islands bornholm, 0.0082, 20, 65 ; land facilities, 0.0082, 3, 4",0.3368,1.0,rønne harbor ; baltic sea ; bornholm offshore wind ; energy islands bornholm ; land facilities
33,1,30,0,"bornholm offshore wind, 0.0309, 1, 1 ; offshore wind, 0.0308, 28, 240 ; jacob trøst, 0.0162, 12, 39 ; danish energy agency, 0.0090, 14, 50 ; offshore wind turbines, 0.0085, 18, 43",0.428,1.0,bornholm offshore wind ; offshore wind ; jacob trøst ; danish energy agency ; offshore wind turbines
34,0,9,0,"dkk million, 0.0426, 0, 0 ; next year, 0.0348, 4, 15 ; 000 kroner, 0.0319, 2, 14 ; ministry interior, 0.0313, 4, 8 ; savings catalog, 0.0288, 3, 16",0.2444,1.0,dkk million ; next year ; 000 kroner ; ministry interior ; savings catalog
35,3,33,0,"energy islands bornholm, 0.0255, 29, 163 ; 10 million, 0.0255, 5, 17 ; energy islands, 0.0158, 32, 207 ; think tank kraka, 0.0147, 12, 14 ; district heating, 0.0110, 4, 20",0.5352,1.0,energy islands bornholm ; 10 million ; energy islands ; think tank kraka ; district heating
