cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
37,0,0,10,"transmission grid, 0.1222, 4, 21 ; five years, 0.0844, 1, 2 ; 400 kv, 0.0540, 3, 8 ; wave energy, 0.0500, 1, 1 ; transition energy, 0.0467, 1, 1",0.24,1.0,transmission grid ; five years ; 400 kv ; wave energy ; transition energy
38,0,0,16,"simulation results, 0.0414, 8, 8 ; vsc hvdc, 0.0307, 0, 0 ; offshore grid, 0.0306, 12, 18 ; grid forming, 0.0299, 1, 1 ; institution engineering technology, 0.0289, 5, 5",0.3458,1.0,simulation results ; vsc hvdc ; offshore grid ; grid forming ; institution engineering technology
39,0,0,1,"energy island, 0.9792, 1, 1",1.0,1.0,energy island
40,0,0,16,"renewable energy, 0.0901, 11, 20 ; energy storage, 0.0747, 7, 14 ; energy energy, 0.0632, 1, 1 ; energy conversion, 0.0389, 2, 2 ; power supply, 0.0326, 3, 5",0.3875,1.0,renewable energy ; energy storage ; energy energy ; energy conversion ; power supply
41,0,0,23,"hydrogen production, 0.0698, 12, 27 ; green hydrogen, 0.0650, 12, 21 ; energy system, 0.0436, 10, 21 ; potential energy, 0.0323, 1, 1 ; offshore energy, 0.0270, 6, 8",0.4232,1.0,hydrogen production ; green hydrogen ; energy system ; potential energy ; offshore energy
42,0,0,24,"offshore grid, 0.0568, 15, 30 ; north sea, 0.0567, 11, 21 ; large scale, 0.0486, 4, 4 ; hvdc grid, 0.0375, 4, 7 ; onshore grid, 0.0280, 4, 5",0.3972,1.0,offshore grid ; north sea ; large scale ; hvdc grid ; onshore grid
43,0,0,6,"control strategy, 0.1168, 2, 3 ; new energy, 0.1077, 3, 3 ; paper proposes, 0.0803, 3, 3 ; reactive power, 0.0782, 3, 4 ; energy resources, 0.0565, 2, 2",0.4333,1.0,control strategy ; new energy ; paper proposes ; reactive power ; energy resources
44,0,0,15,"energy system, 0.1237, 4, 12 ; energy storage, 0.0460, 3, 6 ; waste heat, 0.0384, 2, 2 ; results show, 0.0359, 5, 5 ; energy consumption, 0.0313, 3, 3",0.2267,1.0,energy system ; energy storage ; waste heat ; results show ; energy consumption
45,2,0,23,"renewable energy, 0.0369, 9, 16 ; offshore grids, 0.0277, 5, 8 ; offshore energy hubs, 0.0263, 4, 13 ; north sea, 0.0248, 14, 24 ; climate change, 0.0246, 3, 4",0.288,1.0,renewable energy ; offshore grids ; offshore energy hubs ; north sea ; climate change
46,0,0,22,"sustainable energy, 0.0612, 6, 14 ; energy consumption, 0.0608, 3, 11 ; energy islands, 0.0540, 5, 5 ; future energy, 0.0445, 1, 1 ; rights reserved, 0.0394, 6, 6",0.197,0.0,sustainable energy ; energy consumption ; energy islands ; future energy ; rights reserved
