Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,167,8.839425,6.0146275,"energy islands bornholm, 0.0119, 427, 1187 ; municipal council, 0.0119, 195, 532 ; green transition, 0.0072, 237, 444 ; baltic sea, 0.0061, 229, 505 ; danish energy agency, 0.0061, 189, 496",0.3301,1.0,energy islands bornholm ; municipal council ; green transition ; baltic sea ; danish energy agency
pro,1,14,11.4010515,4.563459,"offshore grid, 0.0417, 229, 364 ; renewable energy, 0.0182, 124, 202 ; rights reserved, 0.0180, 73, 73 ; energy system, 0.0174, 74, 140 ; elsevier ltd, 0.0151, 54, 54",0.2565,1.0,offshore grid ; renewable energy ; rights reserved ; energy system ; elsevier ltd
reg,0,669,7.499162,6.9518423,"energy islands bornholm, 0.0119, 427, 1187 ; municipal council, 0.0119, 195, 532 ; green transition, 0.0072, 237, 444 ; baltic sea, 0.0061, 229, 505 ; danish energy agency, 0.0061, 189, 496",0.3301,1.0,energy islands bornholm ; municipal council ; green transition ; baltic sea ; danish energy agency
reg,1,5,11.636245,4.7791204,"offshore grid, 0.0417, 229, 364 ; renewable energy, 0.0182, 124, 202 ; rights reserved, 0.0180, 73, 73 ; energy system, 0.0174, 74, 140 ; elsevier ltd, 0.0151, 54, 54",0.2565,1.0,offshore grid ; renewable energy ; rights reserved ; energy system ; elsevier ltd
sci,0,27,9.630257,5.9341936,"energy islands bornholm, 0.0119, 427, 1187 ; municipal council, 0.0119, 195, 532 ; green transition, 0.0072, 237, 444 ; baltic sea, 0.0061, 229, 505 ; danish energy agency, 0.0061, 189, 496",0.3301,1.0,energy islands bornholm ; municipal council ; green transition ; baltic sea ; danish energy agency
sci,1,517,13.683168,3.2132316,"offshore grid, 0.0417, 229, 364 ; renewable energy, 0.0182, 124, 202 ; rights reserved, 0.0180, 73, 73 ; energy system, 0.0174, 74, 140 ; elsevier ltd, 0.0151, 54, 54",0.2565,1.0,offshore grid ; renewable energy ; rights reserved ; energy system ; elsevier ltd
