topic_int,topic_names_from_bertopic,count,total_count,percentage,filtered_count,filtered_total_count,filtered_percentage,filtered_to_total_ratio
0,"5, energi, island, project, state",17,111,0.153,5.0,55.0,0.091,0.595
0,"13, island, energi, wind, offshor",13,111,0.117,5.0,55.0,0.091,0.778
0,"27, wind, sea, offshor, energi",12,111,0.108,11.0,55.0,0.2,1.852
0,"33, island, north, sea, energi",10,111,0.09,7.0,55.0,0.127,1.411
0,"18, project, energi, billion, support",10,111,0.09,4.0,55.0,0.073,0.811
1,"4, grid, offshor, wave, integr",44,153,0.288,19.0,76.0,0.25,0.868
1,"2, grid, offshor, transmiss, harmon",42,153,0.275,37.0,76.0,0.487,1.771
1,"10, grid, offshor, wind, power",35,153,0.229,20.0,76.0,0.263,1.148
1,"9, grid, offshor, transmiss, power",23,153,0.15,,,,
1,"1, energi, renew, sustain, system",2,153,0.013,,,,
2,"6, green, co2, busi, also",11,123,0.089,7.0,61.0,0.115,1.292
2,"8, climat, municip, co2, bornholm",9,123,0.073,7.0,61.0,0.115,1.575
2,"5, energi, island, project, state",8,123,0.065,3.0,61.0,0.049,0.754
2,"0, bornholm, energi, island, also",7,123,0.057,4.0,61.0,0.066,1.158
2,"19, energinet, land, municip, plan",7,123,0.057,,,,
3,"6, green, co2, busi, also",16,145,0.11,14.0,72.0,0.194,1.764
3,"14, plant, bornholm, heat, land",14,145,0.097,7.0,72.0,0.097,1.0
3,"22, bornholm, also, municip, say",12,145,0.083,8.0,72.0,0.111,1.337
3,"8, climat, municip, co2, bornholm",12,145,0.083,4.0,72.0,0.056,0.675
3,"12, municip, social, also, democraci",11,145,0.076,4.0,72.0,0.056,0.737
4,"0, bornholm, energi, island, also",22,108,0.204,14.0,54.0,0.259,1.27
4,Noise,13,108,0.12,3.0,54.0,0.056,0.467
4,"30, wind, comput, offshor, bornholm",11,108,0.102,7.0,54.0,0.13,1.275
4,"17, wind, energi, offshor, denmark",11,108,0.102,8.0,54.0,0.148,1.451
4,"29, bornholm, energi, wind, green",8,108,0.074,5.0,54.0,0.093,1.257
5,"11, control, convert, system, stabil",37,176,0.21,19.0,88.0,0.216,1.029
5,Noise,23,176,0.131,13.0,88.0,0.148,1.13
5,"26, control, convert, fault, grid",22,176,0.125,21.0,88.0,0.239,1.912
5,"37, power, grid, offshor, dc",17,176,0.097,5.0,88.0,0.057,0.588
5,"38, control, frequenc, grid, hvdc",16,176,0.091,9.0,88.0,0.102,1.121
6,"0, bornholm, energi, island, also",25,117,0.214,15.0,58.0,0.259,1.21
6,"15, bornholm, municip, cool, energi",11,117,0.094,5.0,58.0,0.086,0.915
6,"28, bornholm, island, busi, visit",10,117,0.085,4.0,58.0,0.069,0.812
6,"16, island, energi, compani, bornholm",10,117,0.085,6.0,58.0,0.103,1.212
6,"25, bornholm, cultur, year, westh",9,117,0.077,4.0,58.0,0.069,0.896
7,"1, energi, renew, sustain, system",59,187,0.316,41.0,93.0,0.441,1.396
7,"24, system, emiss, hainan, energi",23,187,0.123,12.0,93.0,0.129,1.049
7,"31, energi, island, system, renew",20,187,0.107,16.0,93.0,0.172,1.607
7,"36, microgrid, oper, model, optim",17,187,0.091,6.0,93.0,0.065,0.714
7,"42, system, optim, heat, integr",15,187,0.08,11.0,93.0,0.118,1.475
8,"7, price, electr, energi, connect",29,130,0.223,17.0,65.0,0.262,1.175
8,"5, energi, island, project, state",17,130,0.131,13.0,65.0,0.2,1.527
8,"18, project, energi, billion, support",16,130,0.123,12.0,65.0,0.185,1.504
8,"13, island, energi, wind, offshor",14,130,0.108,9.0,65.0,0.138,1.278
8,"0, bornholm, energi, island, also",14,130,0.108,,,,
9,"3, energinet, plant, area, station",28,117,0.239,11.0,58.0,0.19,0.795
9,"12, municip, social, also, democraci",17,117,0.145,14.0,58.0,0.241,1.662
9,"8, climat, municip, co2, bornholm",10,117,0.085,4.0,58.0,0.069,0.812
9,"6, green, co2, busi, also",10,117,0.085,8.0,58.0,0.138,1.624
9,"22, bornholm, also, municip, say",8,117,0.068,6.0,58.0,0.103,1.515
