topic_int,topic_names_from_bertopic,count,total_count,percentage
6,"41, energinet, island, cabl, electr",6,152,0.039
6,"44, sea, island, north, german",3,152,0.02
6,"46, bornholm, energi, land, turbin",4,152,0.026
6,"47, museum, guard, home, bornholm",2,152,0.013
6,"6, energi, wind, bornholm, farm",14,152,0.092
6,Noise,4,152,0.026
7,"13, light, offshor, grid, energi",10,146,0.068
7,"14, offshor, grid, optim, system",3,146,0.021
7,"15, grid, offshor, variabl, power",12,146,0.082
7,"18, hydrogen, ga, electrolys, green",9,146,0.062
7,"22, hydrogen, powertox, product, compani",5,146,0.034
7,"24, co2, bioga, offshor, climat",12,146,0.082
7,"25, heat, renew, system, rvv",11,146,0.075
7,"27, scenario, power, grid, paper",13,146,0.089
7,"29, system, grid, energi, develop",12,146,0.082
7,"33, grid, transmiss, cost, optim",1,146,0.007
7,"38, rvv, bioga, energi, scenario",7,146,0.048
7,"42, water, grid, ptx, system",11,146,0.075
7,"43, grid, system, power, risk",10,146,0.068
7,"8, renew, european, integr, offshor",24,146,0.164
7,Noise,6,146,0.041
8,"1, say, energi, bornholm, profit",13,114,0.114
8,"10, bornholm, energi, archaeologist, project",4,114,0.035
8,"11, wind, bornholm, offshor, energi",6,114,0.053
8,"16, island, bornholm, energi, price",10,114,0.088
8,"19, island, energi, bornholm, wind",6,114,0.053
8,"2, bornholm, energi, also, busi",4,114,0.035
8,"20, hydrogen, cip, electrolysi, heat",8,114,0.07
8,"22, hydrogen, powertox, product, compani",2,114,0.018
8,"24, co2, bioga, offshor, climat",1,114,0.009
8,"28, area, energi, sea, bornholm",5,114,0.044
8,"3, energi, bornholm, wind, work",7,114,0.061
8,"31, project, bornholm, energi, wind",2,114,0.018
8,"34, bornholm, area, wind, energi",5,114,0.044
8,"36, say, energi, casper, bornholm",4,114,0.035
8,"39, energi, bornholm, poland, wind",7,114,0.061
8,"4, bornholm, energi, say, area",10,114,0.088
8,"41, energinet, island, cabl, electr",3,114,0.026
8,"44, sea, island, north, german",2,114,0.018
8,"46, bornholm, energi, land, turbin",4,114,0.035
8,"47, museum, guard, home, bornholm",2,114,0.018
8,"6, energi, wind, bornholm, farm",5,114,0.044
8,Noise,4,114,0.035
9,"12, grid, comput, quantum, model",17,133,0.128
9,"13, light, offshor, grid, energi",7,133,0.053
9,"14, offshor, grid, optim, system",11,133,0.083
9,"15, grid, offshor, variabl, power",9,133,0.068
9,"17, convert, voltag, control, stabil",5,133,0.038
9,"20, hydrogen, cip, electrolysi, heat",1,133,0.008
9,"23, control, grid, convert, hvdc",4,133,0.03
9,"25, heat, renew, system, rvv",1,133,0.008
9,"27, scenario, power, grid, paper",6,133,0.045
9,"29, system, grid, energi, develop",3,133,0.023
9,"33, grid, transmiss, cost, optim",11,133,0.083
9,"35, reliabl, offshor, sensor, grid",6,133,0.045
9,"40, control, voltag, frequenc, system",8,133,0.06
9,"42, water, grid, ptx, system",1,133,0.008
9,"43, grid, system, power, risk",2,133,0.015
9,"45, control, grid, dc, ac",8,133,0.06
9,"5, control, system, 111, power",24,133,0.18
9,"8, renew, european, integr, offshor",1,133,0.008
9,Noise,8,133,0.06
