topic_int,topic_names_from_bertopic,count,total_count,percentage
9,"18, hydrogen, bornholm, energi, offshor",2,92,0.022
9,"2, offshor, energi, wind, grid",9,92,0.098
9,"25, billion, offshor, sea, project",5,92,0.054
9,"3, grid, power, harmon, convert",5,92,0.054
9,"33, energi, project, wind, offshor",2,92,0.022
9,"39, fund, light, receiv, compani",4,92,0.043
9,"4, power, grid, offshor, hvdc",8,92,0.087
9,"40, power, green, control, grid",2,92,0.022
9,"7, control, grid, data, hydrogen",13,92,0.141
9,"8, offshor, grid, wind, billion",12,92,0.13
10,"16, wind, turbin, offshor, area",25,107,0.234
10,"2, offshor, energi, wind, grid",1,107,0.009
10,"20, bornholm, project, energi, food",7,107,0.065
10,"22, agreement, bornholm, energi, project",11,107,0.103
10,"26, electr, wind, energi, island",6,107,0.056
10,"28, ship, port, wind, bornholm",8,107,0.075
10,"34, wind, bornholm, energi, island",10,107,0.093
10,"36, price, zone, connect, electr",2,107,0.019
10,"38, bornholm, project, energi, connect",4,107,0.037
10,"41, error, muffler, power, energi",1,107,0.009
10,"5, wind, bornholm, energi, island",23,107,0.215
10,"9, island, bornholm, sea, energi",6,107,0.056
10,Noise,3,107,0.028
11,"0, bornholm, green, energi, baltic",1,107,0.009
11,"1, energi, island, system, renew",41,107,0.383
11,"12, co2, materi, ga, system",12,107,0.112
11,"13, control, system, power, convert",5,107,0.047
11,"17, cool, offshor, power, grid",1,107,0.009
11,"18, hydrogen, bornholm, energi, offshor",2,107,0.019
11,"2, offshor, energi, wind, grid",2,107,0.019
11,"24, heat, system, rvv, energi",8,107,0.075
11,"25, billion, offshor, sea, project",1,107,0.009
11,"27, energi, system, 111, structur",8,107,0.075
11,"29, climat, countri, reduct, 2030",7,107,0.065
11,"3, grid, power, harmon, convert",2,107,0.019
11,"32, bioga, co2, plant, system",8,107,0.075
11,"35, comput, quantum, rvv, grain",3,107,0.028
11,"37, system, heat, energi, method",2,107,0.019
11,"4, power, grid, offshor, hvdc",2,107,0.019
11,"7, control, grid, data, hydrogen",2,107,0.019
