topic_int,topic_names_from_bertopic,count,total_count,percentage
9,"36, hydrogen, co2, heat, kattegat",1,111,0.009
9,"39, materi, ptx, 111, kjeld",1,111,0.009
9,"4, convert, offshor, wind, connect",3,111,0.027
9,"41, offshor, power, wind, grid",2,111,0.018
9,"42, engin, defens, jueljensen, district",2,111,0.018
9,"43, 2030, ga, green, heat",3,111,0.027
9,"45, bornholm, must, municip, valu",1,111,0.009
9,"46, offshor, grid, recommend, rnne",2,111,0.018
9,"47, wind, offshor, turbin, area",3,111,0.027
9,"5, comput, offshor, grid, wind",8,111,0.072
9,"8, heat, bornholm, municip, plant",2,111,0.018
9,"9, fund, bornholm, energi, price",3,111,0.027
9,Noise,6,111,0.054
