topic_int,topic_names,labels_layer,Source
3,offshor wind,3: offshor wind,Pro Media
3,offshor wind,3: offshor wind,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
5,baltic sea,5: baltic sea,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
1,renew energi,1: renew energi,Pro Media
3,offshor wind,3: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind farm,2: wind farm,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
9,offshor grid,9: offshor grid,Pro Media
1,renew energi,1: renew energi,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
5,baltic sea,5: baltic sea,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
5,baltic sea,5: baltic sea,Pro Media
7,wind turbin,7: wind turbin,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
3,offshor wind,3: offshor wind,Pro Media
7,wind turbin,7: wind turbin,Pro Media
2,wind farm,2: wind farm,Pro Media
7,wind turbin,7: wind turbin,Pro Media
3,offshor wind,3: offshor wind,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
7,wind turbin,7: wind turbin,Pro Media
1,renew energi,1: renew energi,Pro Media
3,offshor wind,3: offshor wind,Pro Media
7,wind turbin,7: wind turbin,Pro Media
1,renew energi,1: renew energi,Pro Media
7,wind turbin,7: wind turbin,Pro Media
1,renew energi,1: renew energi,Pro Media
3,offshor wind,3: offshor wind,Pro Media
3,offshor wind,3: offshor wind,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
3,offshor wind,3: offshor wind,Pro Media
9,offshor grid,9: offshor grid,Pro Media
7,wind turbin,7: wind turbin,Pro Media
3,offshor wind,3: offshor wind,Pro Media
1,renew energi,1: renew energi,Pro Media
7,wind turbin,7: wind turbin,Pro Media
3,offshor wind,3: offshor wind,Pro Media
3,offshor wind,3: offshor wind,Pro Media
3,offshor wind,3: offshor wind,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
7,wind turbin,7: wind turbin,Pro Media
8,energi system,8: energi system,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
3,offshor wind,3: offshor wind,Pro Media
3,offshor wind,3: offshor wind,Pro Media
8,energi system,8: energi system,Pro Media
9,offshor grid,9: offshor grid,Pro Media
5,baltic sea,5: baltic sea,Pro Media
2,wind farm,2: wind farm,Pro Media
7,wind turbin,7: wind turbin,Pro Media
3,offshor wind,3: offshor wind,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
5,baltic sea,5: baltic sea,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
9,offshor grid,9: offshor grid,Pro Media
9,offshor grid,9: offshor grid,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
8,energi system,8: energi system,Pro Media
7,wind turbin,7: wind turbin,Pro Media
8,energi system,8: energi system,Pro Media
3,offshor wind,3: offshor wind,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
1,renew energi,1: renew energi,Pro Media
8,energi system,8: energi system,Pro Media
1,renew energi,1: renew energi,Pro Media
5,baltic sea,5: baltic sea,Pro Media
7,wind turbin,7: wind turbin,Pro Media
5,baltic sea,5: baltic sea,Pro Media
3,offshor wind,3: offshor wind,Pro Media
1,renew energi,1: renew energi,Pro Media
9,offshor grid,9: offshor grid,Pro Media
1,renew energi,1: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
3,offshor wind,3: offshor wind,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
9,offshor grid,9: offshor grid,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
8,energi system,8: energi system,Pro Media
0,energi island,0: energi island,Pro Media
8,energi system,8: energi system,Pro Media
1,renew energi,1: renew energi,Pro Media
9,offshor grid,9: offshor grid,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
8,energi system,8: energi system,Pro Media
7,wind turbin,7: wind turbin,Pro Media
5,baltic sea,5: baltic sea,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
1,renew energi,1: renew energi,Pro Media
1,renew energi,1: renew energi,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
8,energi system,8: energi system,Pro Media
0,energi island,0: energi island,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
8,energi system,8: energi system,Pro Media
3,offshor wind,3: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
3,offshor wind,3: offshor wind,Pro Media
1,renew energi,1: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
9,offshor grid,9: offshor grid,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
3,offshor wind,3: offshor wind,Pro Media
9,offshor grid,9: offshor grid,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
7,wind turbin,7: wind turbin,Pro Media
3,offshor wind,3: offshor wind,Pro Media
3,offshor wind,3: offshor wind,Pro Media
7,wind turbin,7: wind turbin,Pro Media
7,wind turbin,7: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
7,wind turbin,7: wind turbin,Pro Media
5,baltic sea,5: baltic sea,Pro Media
3,offshor wind,3: offshor wind,Pro Media
