UMAP1,UMAP2,cluster
4.8019824,4.9602666,2
6.716624,6.4564123,2
4.1881995,3.3960297,2
4.2236814,3.009973,2
6.989432,4.4699597,2
5.5376344,5.80068,2
4.6107554,3.6018796,2
4.567956,3.9979203,2
5.8248234,3.6326976,2
4.5084796,5.3923683,2
7.0383263,5.55749,2
6.3984714,4.1065497,2
4.4818034,4.3369684,2
4.052189,6.164728,2
4.8646917,5.2509613,2
5.809242,2.6121461,2
5.0828147,5.219347,2
4.4904394,4.3656797,2
2.9836507,4.14114,2
3.6688077,4.1922116,2
3.2815928,2.928262,-1
6.114842,5.621756,2
4.1769724,3.951734,2
4.6191025,5.1874166,2
4.6841683,5.430488,2
4.548346,3.3358252,2
4.2404475,6.2406406,2
6.236959,4.023136,2
6.569026,4.3252416,2
6.3241897,3.9415803,2
4.7031775,3.1805923,2
4.0351267,5.6237483,2
5.263876,3.8525739,2
5.4575624,4.0312243,2
5.6010747,5.803093,2
3.9730232,6.1395826,2
4.104321,6.020354,2
4.5047197,6.0518794,2
6.713982,3.8326914,2
4.1230173,4.0931406,2
4.6128755,5.6469984,2
6.4189296,3.8017197,2
4.995329,5.8640585,2
5.0053897,4.6430097,2
6.3675213,5.7141967,2
7.0059896,3.8840945,2
5.2431164,5.901195,2
4.7693768,4.9287434,2
4.042985,3.8272595,2
5.151766,5.145266,2
4.6023097,3.5849097,2
4.640172,3.0358667,2
4.989261,5.6458955,2
4.0401034,5.9130235,2
4.563768,3.5001445,2
2.3969142,4.3019795,0
3.9618025,3.2660577,2
5.5892634,5.6573277,2
5.178682,5.2491913,2
6.838582,4.286307,2
4.9235654,5.01181,2
6.2127876,4.254353,2
4.60812,3.7800455,2
5.6370635,6.588062,2
5.6986427,6.0797954,2
5.3335924,6.2817397,2
4.351116,6.3133903,2
5.6886525,5.313485,2
5.4057217,5.966422,2
4.588471,3.5629368,2
4.56405,2.8759844,2
4.4989305,5.356565,2
3.9858239,3.357594,2
4.577288,4.9900436,2
4.801233,3.5713315,2
5.28707,6.2502084,2
5.993378,4.700013,2
4.5976067,3.7961729,2
4.812347,4.6714993,2
6.208053,3.4447048,2
3.900011,1.8108253,1
7.18215,5.609184,2
5.245041,4.691981,2
5.246507,5.6181254,2
5.2458997,5.824686,2
7.2023153,5.1370525,2
4.160443,2.0108328,1
3.9467628,1.9295369,1
4.1259837,4.794117,2
7.3448234,5.135872,2
5.8618107,3.2041373,2
4.68474,3.1503518,2
5.443866,3.5039287,2
3.9687884,5.186452,2
4.9813657,6.0726275,2
5.2361712,5.7439566,2
3.9345994,6.0356917,2
4.8329234,4.833842,2
7.5604553,5.5788097,2
5.0530024,5.292895,2
4.8730607,2.9490085,2
5.9067307,5.7797003,2
6.075202,5.7263403,2
6.356872,3.2668688,2
6.770342,6.130454,2
7.13482,5.7687063,2
6.8372183,5.7290783,2
6.5467954,5.8403015,2
1.5928771,4.820705,0
4.6350036,4.4033566,2
5.633542,3.6514964,2
5.5888543,5.87636,2
4.9729037,4.640667,2
6.827066,6.111263,2
6.5293097,4.839108,2
5.409108,5.7494235,2
4.151974,5.553159,2
4.9702563,4.4766617,2
6.6230054,3.9822085,2
3.4102278,3.3700912,2
6.909057,4.019574,2
5.8426013,6.331493,2
5.7885604,6.6691933,2
5.4424844,4.16762,2
6.426992,6.2898216,2
4.664779,5.720776,2
5.1772814,6.561912,2
1.7421511,4.04791,0
5.0940285,5.3627357,2
5.2094502,4.887998,2
4.686607,4.99642,2
4.2249985,6.1011934,2
4.297702,6.279331,2
5.540562,5.8795476,2
5.0572453,5.122508,2
5.0363555,5.269245,2
4.310578,5.9238114,2
4.6677427,5.559111,2
3.4273243,3.0411558,2
4.2098346,5.21011,2
5.6988325,6.7353177,2
2.9796448,3.5849104,2
6.3233213,5.9673257,2
4.0591507,4.6936674,2
6.323776,5.5403605,2
3.759773,5.1084337,-1
6.1945662,5.0457783,2
6.740477,3.8653505,2
5.45818,6.176923,2
5.935538,5.119818,2
4.763859,5.1449084,2
6.647963,4.421602,2
6.1726985,4.700728,2
4.697745,3.801926,2
3.274996,3.908006,2
5.4846497,6.1239686,2
4.5832214,5.369249,2
6.3419094,6.152472,2
3.9734728,5.1289616,2
4.674645,4.9485006,2
4.3225904,6.1046,2
4.7160797,5.4306307,2
5.7697396,5.403501,2
4.3444023,6.148166,2
4.714035,5.4578376,2
6.451657,6.295777,2
4.3248377,6.2779703,2
4.4956646,3.0874684,2
5.6345415,6.7667313,2
4.909729,6.330734,2
4.6636024,3.7433102,2
5.683547,3.5328064,2
6.787618,4.4076056,2
5.799092,6.5860486,2
4.5232506,3.1552405,2
5.427013,6.191355,2
6.54575,4.6556196,2
5.6239963,6.7992573,2
4.963011,5.148636,2
4.8727093,3.566764,2
6.8931565,5.3772755,2
5.6056714,6.8141727,2
5.5836124,6.788811,2
5.271825,4.8770785,2
5.13851,5.9004197,2
5.5361543,6.473359,2
5.566929,4.800133,2
6.6933346,6.02134,2
7.373924,5.167149,2
6.9186845,5.2262917,2
5.5470734,6.2317743,2
5.183937,4.8141913,2
5.281333,6.6123276,2
5.366987,3.5063858,2
3.6358857,4.8600793,-1
4.1299,5.430211,2
5.756503,6.631356,2
4.518647,4.4410152,2
4.640987,5.4424567,2
6.67692,4.0882654,2
6.5303864,5.156245,2
6.2284017,6.00671,2
4.1364613,6.189866,2
5.072815,6.004131,2
4.1019106,5.925617,2
6.7690415,5.1770844,2
4.4711018,5.16724,2
3.8939211,5.965608,2
5.4915085,6.7028255,2
6.8718634,4.6929765,2
6.2265162,4.0354586,2
5.552778,6.180346,2
5.361709,5.0367913,2
3.9935505,4.545499,2
6.004474,6.100876,2
5.9460998,4.8554993,2
5.7708282,4.245339,2
2.3549323,4.237476,0
5.4232163,6.7364817,2
4.385909,6.0777316,2
4.1825957,3.6834319,2
6.520365,6.7029204,2
7.012588,5.244271,2
5.270723,5.8911357,2
5.690154,6.7307434,2
5.1444535,4.9715104,2
5.080617,6.6144605,2
6.6718264,4.1070776,2
5.838712,5.68206,2
5.9822316,4.1631346,2
5.754281,4.985301,2
6.0987315,5.2755013,2
4.711743,3.1407022,2
3.1690738,3.985579,2
-0.2999607,4.2440896,0
4.4023776,3.6863415,2
3.309348,3.2135205,2
4.3944144,5.7191463,2
7.3482804,5.937025,2
6.327324,5.581043,2
5.455678,5.857778,2
3.3759007,3.927174,2
3.215899,3.4320724,2
4.0849037,3.4428823,2
4.547708,5.208928,2
4.8567724,6.4182262,2
3.1837661,3.6355147,2
5.0242567,5.5757866,2
4.351592,4.051888,2
3.8190498,4.8764286,2
3.302121,3.4132972,2
6.1793494,6.5124116,2
6.373568,5.597102,2
5.694181,6.8219953,2
4.259626,6.408876,2
5.158132,6.4927025,2
5.650522,3.1212358,2
6.1991105,5.8958774,2
5.7117376,2.6680498,2
6.322259,4.308802,2
6.6223583,3.9383268,2
6.706779,3.9621441,2
5.3983755,2.564147,2
5.8710127,5.5606456,2
4.20975,1.9023913,1
5.3546267,5.456148,2
5.134388,4.2892275,2
4.7660923,6.3069587,2
5.032646,4.5627546,2
5.660908,6.2394886,2
5.83137,5.2139072,2
1.1659628,5.1139393,-1
4.0626764,6.266445,2
4.716059,4.89135,2
4.1310434,5.066014,2
3.336178,3.2701652,2
4.97225,5.0550485,2
6.8697944,5.862468,2
4.1838408,6.3912287,2
4.1346717,6.311108,2
2.7130404,5.0755877,-1
6.273754,4.5453043,2
5.262949,5.085869,2
3.6528718,4.184829,2
6.880967,5.8120008,2
5.9903092,5.9346347,2
4.166086,4.5772386,2
5.938379,5.0789347,2
7.244884,4.6170983,2
3.2838814,3.3892405,2
6.6767282,4.702534,2
5.1948547,6.4626217,2
5.056062,4.2886643,2
3.5579493,3.0979195,2
6.904708,5.6059127,2
5.609951,2.8408983,2
1.4179832,1.813076,0
6.0390053,2.7547534,2
4.9375567,5.773525,2
6.0319963,3.5729744,2
5.82993,3.8519406,2
4.24677,3.4983354,2
6.8498974,5.2122498,2
4.7730255,4.0746436,2
4.273714,2.4727843,-1
5.9125433,3.010489,2
6.040996,4.7887626,2
6.7391295,6.274766,2
3.3590431,3.329422,2
5.76662,4.8879657,2
5.457743,4.8464537,2
3.8955317,1.9998531,1
5.373218,4.5566645,2
5.9950347,5.630419,2
7.5240054,5.497914,2
4.0580535,1.9161458,1
7.449588,5.3166237,2
5.75721,2.9007874,2
4.4785814,3.8013754,2
6.4428873,6.416832,2
5.523999,6.6439705,2
6.631904,4.744788,2
5.583665,6.539352,2
6.054753,5.9224954,2
7.4331527,5.6249447,2
4.270207,5.1309686,2
5.740297,5.4975576,2
6.3954167,5.77085,2
7.1786633,5.6050587,2
5.576751,4.7080116,2
3.9966004,1.8343366,1
5.9778633,5.8742476,2
4.868079,3.0793564,2
7.556605,5.4968576,2
7.6189175,5.657753,2
6.58178,5.9360833,2
5.3215556,5.4257483,2
3.219285,3.4783056,2
6.6665025,4.664372,2
6.451372,6.3299003,2
7.102608,5.532384,2
5.9536204,6.2541885,2
6.593105,4.4270525,2
7.6532917,5.467786,2
5.1394196,3.4753442,2
3.1446376,3.4874728,2
3.458358,3.3277628,2
2.9211125,3.44072,2
6.3915653,6.7322392,2
7.495093,5.3723993,2
6.63963,6.648598,2
3.0064595,3.4289825,2
6.539483,4.1768513,2
4.7911224,5.2138762,2
4.404131,5.886004,2
4.852585,4.1377454,2
6.038701,5.2010794,2
4.04527,2.2725208,1
6.025874,3.3819733,2
4.9932985,6.4609504,2
4.7838445,5.470416,2
3.1400216,3.446503,2
7.0218143,6.222245,2
4.9522014,5.9320855,2
4.9512873,4.4076858,2
6.68738,3.830508,2
4.745901,3.679817,2
6.7010236,5.222633,2
6.512249,4.4959574,2
3.754779,1.9976315,1
6.410139,6.061512,2
6.9224024,5.11569,2
6.3830175,4.6920447,2
5.71793,4.9575086,2
5.97971,5.360089,2
6.3718414,3.0846555,-1
6.446643,5.691565,2
5.8934035,4.7415633,2
4.22417,3.7628896,2
6.958771,6.3103924,2
7.549626,5.7195497,2
6.5937176,5.7415824,2
5.003515,5.740613,2
6.810038,5.8235235,2
5.123964,4.639679,2
6.657152,4.4684873,2
5.585492,6.1800084,2
5.9087806,4.5669365,2
5.0418406,3.9213479,2
6.4897637,6.6741996,2
5.642331,5.363436,2
5.292036,4.174873,2
4.9819517,3.726274,2
4.160627,5.5756807,2
6.866873,4.1609044,2
4.169717,4.6895533,2
6.3817587,4.154214,2
2.546278,5.0580497,-1
5.2894835,6.1530294,2
4.1167307,3.6918137,2
4.7498584,6.3756595,2
6.5262446,5.4475193,2
5.549002,4.675123,2
4.3323455,5.340957,2
4.478362,5.7597938,2
2.5338418,4.968823,-1
6.9319105,5.8189206,2
7.408835,5.1846285,2
6.696105,5.8895206,2
2.737317,4.153079,-1
6.1738963,5.8863935,2
5.820869,6.482861,2
5.7657638,3.736798,2
5.214037,6.374114,2
4.825258,6.4422545,2
4.837618,3.1847167,2
6.6335297,5.8092012,2
5.421644,6.381128,2
5.1807556,4.352664,2
4.3820844,5.937354,2
6.3323917,3.6772788,2
6.4156227,5.322536,2
5.7070217,5.103622,2
4.522022,5.3269305,2
4.466864,5.1942997,2
7.1542153,4.7056556,2
5.394854,5.907394,2
5.179095,4.151101,2
7.3047123,4.832833,2
7.074581,4.861131,2
6.9622602,5.0375075,2
5.35333,5.1930857,2
4.8312917,5.5326753,2
6.5248394,6.763131,2
7.519718,5.5643983,2
6.942328,4.3646865,2
7.1615148,4.081569,2
6.983444,4.0053196,2
5.0069337,4.6901155,2
7.00855,3.9755998,2
4.034577,5.5421305,2
7.5263247,5.794222,2
4.113259,1.9571856,1
3.8641334,1.8802524,1
4.0326853,5.9307923,2
5.6894827,6.7505016,2
5.2144227,6.1716113,2
4.854027,5.9370365,2
4.646918,4.690476,2
4.98903,5.6366262,2
6.378519,5.9539313,2
5.8371835,4.203721,2
6.1351337,5.1873093,2
6.618488,4.9185677,2
5.7473445,5.052335,2
4.331982,5.0537705,2
6.9027734,5.768163,2
5.6257806,5.63397,2
5.5562806,5.210538,2
6.151404,5.638404,2
5.880081,5.0220604,2
5.0128946,5.1843824,2
5.2536035,4.864176,2
4.497712,6.1284842,2
6.2848253,5.0982766,2
6.226674,4.9806843,2
6.5342665,4.1282907,2
4.880273,6.232465,2
4.0132337,4.649642,2
6.2786036,3.8466988,2
5.4324565,4.070625,2
7.067249,4.9106903,2
6.087566,4.002251,2
7.1178927,4.522391,2
6.5787306,6.6945643,2
1.028294,4.991272,0
6.535362,5.317643,2
6.165785,4.9725285,2
6.924914,5.0624557,2
7.113165,5.1778836,2
7.352795,5.996087,2
