topic_int,topic_names,labels_layer,Source
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
4,wind turbin,4: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
8,district heat,8: district heat,Pro Media
6,municip council,6: municip council,Pro Media
5,wind farm,5: wind farm,Pro Media
6,municip council,6: municip council,Pro Media
0,energi island,0: energi island,Pro Media
5,wind farm,5: wind farm,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
5,wind farm,5: wind farm,Pro Media
4,wind turbin,4: wind turbin,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
6,municip council,6: municip council,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
5,wind farm,5: wind farm,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
8,district heat,8: district heat,Pro Media
8,district heat,8: district heat,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
8,district heat,8: district heat,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
8,district heat,8: district heat,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,wind farm,5: wind farm,Reg Media
5,wind farm,5: wind farm,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
8,district heat,8: district heat,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
6,municip council,6: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,wind farm,5: wind farm,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
8,district heat,8: district heat,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
6,municip council,6: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,wind farm,5: wind farm,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
5,wind farm,5: wind farm,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
5,wind farm,5: wind farm,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,wind farm,5: wind farm,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,wind farm,5: wind farm,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
