Source,cluster,x,y,TF_IDF_topic_name
sci,1,1.1703362,11.723391,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,2,1.3344511,10.0666,"hydrogen production, 0.0298, 16, 31 | green hydrogen, 0.0215, 12, 21 | co2 emissions, 0.0146, 9, 14 | oil gas, 0.0146, 12, 15 | energy system, 0.0134, 17, 38"
sci,4,-0.533699,9.322659,"offshore grid, 0.0637, 12, 17 | wave energy, 0.0567, 5, 9 | grid spacing, 0.0443, 3, 14 | 2011 ieee, 0.0401, 2, 2 | long term, 0.0356, 0, 0"
sci,1,-0.44837612,11.9547415,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,1,1.0320731,11.264727,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,0,4.7869425,12.473338,"vsc hvdc, 0.0084, 4, 5 | reactive power, 0.0072, 27, 57 | dc grid, 0.0070, 26, 64 | ac grid, 0.0070, 26, 46 | high voltage, 0.0068, 27, 32"
sci,5,-0.92993367,10.366938,"energy island, 0.1071, 12, 16 | energy islands, 0.0981, 2, 3 | rights reserved, 0.0642, 3, 3 | qd growth, 0.0382, 1, 6 | low energy, 0.0355, 2, 3"
sci,3,1.1734138,8.679915,"north sea, 0.0196, 69, 116 | offshore wind, 0.0183, 86, 193 | offshore grid, 0.0157, 97, 179 | wind energy, 0.0076, 29, 49 | offshore wind energy, 0.0069, 19, 33"
sci,0,4.233919,13.035371,"vsc hvdc, 0.0084, 4, 5 | reactive power, 0.0072, 27, 57 | dc grid, 0.0070, 26, 64 | ac grid, 0.0070, 26, 46 | high voltage, 0.0068, 27, 32"
sci,1,1.3029529,11.512164,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,3,2.3494892,8.792858,"north sea, 0.0196, 69, 116 | offshore wind, 0.0183, 86, 193 | offshore grid, 0.0157, 97, 179 | wind energy, 0.0076, 29, 49 | offshore wind energy, 0.0069, 19, 33"
