topic_int,topic_names,labels_layer,Source
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,renew energi,3: renew energi,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
3,renew energi,3: renew energi,Pro Media
3,renew energi,3: renew energi,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,renew energi,3: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
3,renew energi,3: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
1,offshor grid,1: offshor grid,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
6,municip council,6: municip council,Pro Media
0,energi island,0: energi island,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,renew energi,3: renew energi,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
1,offshor grid,1: offshor grid,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,renew energi,3: renew energi,Pro Media
3,renew energi,3: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
3,renew energi,3: renew energi,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
3,renew energi,3: renew energi,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,renew energi,3: renew energi,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
5,wind farm,5: wind farm,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
6,municip council,6: municip council,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,renew energi,3: renew energi,Pro Media
2,offshor wind,2: offshor wind,Pro Media
