topic_int,topic_names,labels_layer,Source
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,north sea,4: north sea,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
4,north sea,4: north sea,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
2,wind turbin,2: wind turbin,Pro Media
9,energi system,9: energi system,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,north sea,4: north sea,Pro Media
3,wind farm,3: wind farm,Pro Media
9,energi system,9: energi system,Pro Media
9,energi system,9: energi system,Pro Media
4,north sea,4: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
9,energi system,9: energi system,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
9,energi system,9: energi system,Pro Media
9,energi system,9: energi system,Pro Media
4,north sea,4: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,north sea,4: north sea,Pro Media
7,renew energi,7: renew energi,Pro Media
4,north sea,4: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
9,energi system,9: energi system,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,north sea,4: north sea,Pro Media
9,energi system,9: energi system,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
9,energi system,9: energi system,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
1,offshor wind,1: offshor wind,Pro Media
1,offshor wind,1: offshor wind,Pro Media
4,north sea,4: north sea,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
9,energi system,9: energi system,Pro Media
4,north sea,4: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
9,energi system,9: energi system,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
7,renew energi,7: renew energi,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
7,renew energi,7: renew energi,Pro Media
1,offshor wind,1: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
3,wind farm,3: wind farm,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
9,energi system,9: energi system,Pro Media
9,energi system,9: energi system,Pro Media
6,municip council,6: municip council,Pro Media
9,energi system,9: energi system,Pro Media
9,energi system,9: energi system,Pro Media
9,energi system,9: energi system,Pro Media
1,offshor wind,1: offshor wind,Pro Media
1,offshor wind,1: offshor wind,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
7,renew energi,7: renew energi,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
7,renew energi,7: renew energi,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
9,energi system,9: energi system,Pro Media
9,energi system,9: energi system,Pro Media
8,energiø bornholm,8: energiø bornholm,Pro Media
9,energi system,9: energi system,Pro Media
1,offshor wind,1: offshor wind,Pro Media
9,energi system,9: energi system,Pro Media
0,energi island,0: energi island,Pro Media
4,north sea,4: north sea,Pro Media
0,energi island,0: energi island,Pro Media
2,wind turbin,2: wind turbin,Pro Media
9,energi system,9: energi system,Pro Media
1,offshor wind,1: offshor wind,Pro Media
9,energi system,9: energi system,Pro Media
8,energiø bornholm,8: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
8,energiø bornholm,8: energiø bornholm,Pro Media
1,offshor wind,1: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
4,north sea,4: north sea,Pro Media
7,renew energi,7: renew energi,Pro Media
0,energi island,0: energi island,Pro Media
7,renew energi,7: renew energi,Pro Media
9,energi system,9: energi system,Pro Media
1,offshor wind,1: offshor wind,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
7,renew energi,7: renew energi,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
4,north sea,4: north sea,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
9,energi system,9: energi system,Pro Media
9,energi system,9: energi system,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
7,renew energi,7: renew energi,Pro Media
0,energi island,0: energi island,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
1,offshor wind,1: offshor wind,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,north sea,4: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
1,offshor wind,1: offshor wind,Pro Media
2,wind turbin,2: wind turbin,Pro Media
8,energiø bornholm,8: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
1,offshor wind,1: offshor wind,Pro Media
8,energiø bornholm,8: energiø bornholm,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
4,north sea,4: north sea,Pro Media
5,offshor wind farm,5: offshor wind farm,Pro Media
