topic_int,topic_names,labels_layer,Source
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,energiø bornholm,5: energiø bornholm,Reg Media
0,energi island,0: energi island,Reg Media
5,energiø bornholm,5: energiø bornholm,Reg Media
5,energiø bornholm,5: energiø bornholm,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,energiø bornholm,5: energiø bornholm,Reg Media
0,energi island,0: energi island,Reg Media
2,wind turbin,2: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,energiø bornholm,5: energiø bornholm,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
2,wind turbin,2: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
5,energiø bornholm,5: energiø bornholm,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
5,energiø bornholm,5: energiø bornholm,Reg Media
