Source,cluster,x,y,topic_name
reg,10,6.964706,4.4313517,electr grid bornholm electr price zone
reg,6,7.1291437,6.8146152,offshor wind wind turbin wind farm
reg,6,7.1966414,7.0129423,offshor wind wind turbin wind farm
reg,8,4.9045057,5.9070544,baltic sea baltic energi baltic energi island
reg,8,4.750502,6.023011,baltic sea baltic energi baltic energi island
reg,1,7.499495,2.4501877,high voltag voltag station bornholm museum
reg,6,5.607466,6.645476,offshor wind wind turbin wind farm
reg,6,6.830575,7.111651,offshor wind wind turbin wind farm
reg,7,5.2763433,6.3815885,baltic sea north sea possibl establish
reg,11,3.9657047,4.9747133,31 billion 20 billion energiø bornholm
reg,11,3.7297962,5.4244094,31 billion 20 billion energiø bornholm
reg,6,6.058973,6.338059,offshor wind wind turbin wind farm
reg,11,3.9195116,5.1756053,31 billion 20 billion energiø bornholm
reg,1,7.264651,3.0827641,high voltag voltag station bornholm museum
reg,2,4.2470245,3.684198,center bornholm busi center labor market
reg,1,7.546563,2.3217206,high voltag voltag station bornholm museum
reg,1,7.684638,3.6931248,high voltag voltag station bornholm museum
reg,6,7.219066,6.786633,offshor wind wind turbin wind farm
reg,13,3.4501395,2.602549,social democraci municip council climat plan
reg,6,7.28194,6.656598,offshor wind wind turbin wind farm
reg,11,3.8702407,5.4501357,31 billion 20 billion energiø bornholm
reg,14,4.0942116,1.3379078,social democraci social democrat ann thoma
reg,9,5.674579,1.9398004,jacob trøst citizen meet mayor jacob trøst
reg,11,4.1937656,4.9726434,31 billion 20 billion energiø bornholm
reg,14,4.3245378,1.5756385,social democraci social democrat ann thoma
reg,14,4.050972,1.4774626,social democraci social democrat ann thoma
reg,14,3.967828,1.508044,social democraci social democrat ann thoma
reg,14,4.4652042,1.5471629,social democraci social democrat ann thoma
reg,6,5.922012,6.570037,offshor wind wind turbin wind farm
reg,6,5.630756,6.391332,offshor wind wind turbin wind farm
reg,14,3.8142192,1.6516422,social democraci social democrat ann thoma
reg,9,5.3780627,3.190361,jacob trøst citizen meet mayor jacob trøst
reg,1,6.8734455,3.3966403,high voltag voltag station bornholm museum
reg,10,7.065089,4.9007735,electr grid bornholm electr price zone
reg,1,7.049327,3.635139,high voltag voltag station bornholm museum
reg,6,6.9001646,6.336068,offshor wind wind turbin wind farm
reg,9,5.840994,1.9355478,jacob trøst citizen meet mayor jacob trøst
reg,9,5.682262,1.8612025,jacob trøst citizen meet mayor jacob trøst
reg,1,7.3500075,2.6266692,high voltag voltag station bornholm museum
reg,1,7.637347,3.1898913,high voltag voltag station bornholm museum
reg,9,5.3428855,2.2588396,jacob trøst citizen meet mayor jacob trøst
reg,5,7.2095103,5.4768114,hydrogen product electrolysi plant green fuel
reg,2,4.7449293,3.7519586,center bornholm busi center labor market
reg,1,7.0154743,3.5615308,high voltag voltag station bornholm museum
reg,1,6.80148,3.3460708,high voltag voltag station bornholm museum
reg,1,7.529813,2.703879,high voltag voltag station bornholm museum
reg,1,7.3803353,2.9935777,high voltag voltag station bornholm museum
reg,9,5.355929,3.1141708,jacob trøst citizen meet mayor jacob trøst
reg,1,7.298807,3.9903395,high voltag voltag station bornholm museum
reg,1,7.3829794,2.8316495,high voltag voltag station bornholm museum
reg,1,7.567699,2.7036798,high voltag voltag station bornholm museum
reg,5,7.347254,5.977177,hydrogen product electrolysi plant green fuel
reg,14,4.03437,1.411483,social democraci social democrat ann thoma
reg,5,7.3100896,5.4729676,hydrogen product electrolysi plant green fuel
reg,4,5.9498305,3.0962973,busi park energi park energi island
reg,2,4.766754,4.0079823,center bornholm busi center labor market
reg,1,7.85717,3.205508,high voltag voltag station bornholm museum
reg,1,7.469938,2.8671887,high voltag voltag station bornholm museum
reg,8,4.939503,5.98959,baltic sea baltic energi baltic energi island
reg,4,6.192647,3.6137846,busi park energi park energi island
reg,9,5.207561,2.968829,jacob trøst citizen meet mayor jacob trøst
reg,3,5.5111084,4.4220185,green transit green island realli good
reg,6,7.3659344,6.853885,offshor wind wind turbin wind farm
reg,5,7.3256187,5.842351,hydrogen product electrolysi plant green fuel
reg,4,5.9338317,3.343687,busi park energi park energi island
reg,1,7.7698865,3.516871,high voltag voltag station bornholm museum
reg,1,7.3020086,3.1178567,high voltag voltag station bornholm museum
reg,1,7.582302,3.6305766,high voltag voltag station bornholm museum
reg,11,4.0378084,5.011967,31 billion 20 billion energiø bornholm
reg,1,7.553956,2.621885,high voltag voltag station bornholm museum
reg,1,7.550396,2.8416362,high voltag voltag station bornholm museum
reg,1,7.631737,2.713575,high voltag voltag station bornholm museum
reg,6,6.806531,6.539433,offshor wind wind turbin wind farm
reg,9,5.285637,2.2140977,jacob trøst citizen meet mayor jacob trøst
reg,1,6.9348598,2.839851,high voltag voltag station bornholm museum
reg,6,7.0372744,6.967384,offshor wind wind turbin wind farm
reg,7,5.174284,6.138083,baltic sea north sea possibl establish
reg,6,7.206469,7.173822,offshor wind wind turbin wind farm
reg,9,5.5517664,1.9271823,jacob trøst citizen meet mayor jacob trøst
reg,6,7.1300244,6.411928,offshor wind wind turbin wind farm
reg,3,5.691605,3.9071398,green transit green island realli good
reg,4,6.196118,3.2830591,busi park energi park energi island
reg,9,5.4188447,2.5605707,jacob trøst citizen meet mayor jacob trøst
reg,6,6.989885,7.1589346,offshor wind wind turbin wind farm
reg,14,4.508213,1.6869869,social democraci social democrat ann thoma
reg,8,4.704154,5.9109473,baltic sea baltic energi baltic energi island
reg,4,5.8800774,3.3356209,busi park energi park energi island
reg,9,5.452132,2.425984,jacob trøst citizen meet mayor jacob trøst
reg,8,4.9575834,5.9429693,baltic sea baltic energi baltic energi island
reg,13,3.768267,1.9761295,social democraci municip council climat plan
reg,3,5.8967147,3.7614555,green transit green island realli good
reg,9,5.271364,2.0508432,jacob trøst citizen meet mayor jacob trøst
reg,10,7.054926,4.5593724,electr grid bornholm electr price zone
reg,10,7.074068,4.5630145,electr grid bornholm electr price zone
reg,10,6.988611,4.615346,electr grid bornholm electr price zone
reg,9,4.985975,1.9736828,jacob trøst citizen meet mayor jacob trøst
reg,3,5.5421395,4.3348694,green transit green island realli good
reg,10,6.897434,4.5707364,electr grid bornholm electr price zone
reg,1,6.903996,3.0337217,high voltag voltag station bornholm museum
reg,2,4.551083,3.7911043,center bornholm busi center labor market
reg,1,7.3974566,3.0383837,high voltag voltag station bornholm museum
reg,4,6.5284324,2.9496315,busi park energi park energi island
reg,1,7.640264,3.0408378,high voltag voltag station bornholm museum
reg,1,7.7185955,3.047958,high voltag voltag station bornholm museum
reg,1,7.6158032,2.9618435,high voltag voltag station bornholm museum
reg,1,7.61049,2.8891962,high voltag voltag station bornholm museum
reg,9,5.568541,1.9783565,jacob trøst citizen meet mayor jacob trøst
reg,4,6.4537854,3.2729087,busi park energi park energi island
reg,14,4.3937716,1.5799674,social democraci social democrat ann thoma
reg,4,6.1428723,3.5891962,busi park energi park energi island
reg,2,5.0691547,4.276737,center bornholm busi center labor market
reg,8,5.1778364,5.8723273,baltic sea baltic energi baltic energi island
reg,6,5.874944,6.222813,offshor wind wind turbin wind farm
reg,1,7.6693296,3.5496547,high voltag voltag station bornholm museum
reg,9,5.8587084,2.1056325,jacob trøst citizen meet mayor jacob trøst
reg,1,7.5378222,2.9318922,high voltag voltag station bornholm museum
reg,6,7.018807,6.370847,offshor wind wind turbin wind farm
reg,14,3.882317,1.6104478,social democraci social democrat ann thoma
reg,4,6.4177423,3.177955,busi park energi park energi island
reg,1,7.742075,3.4577475,high voltag voltag station bornholm museum
reg,9,5.723064,1.9972751,jacob trøst citizen meet mayor jacob trøst
reg,9,5.0287275,2.8519564,jacob trøst citizen meet mayor jacob trøst
reg,6,7.5671005,7.074395,offshor wind wind turbin wind farm
reg,0,5.1151404,5.4082527,citizen associ transform station associ energiø
reg,4,6.4290156,3.2226183,busi park energi park energi island
reg,8,5.082966,5.6610656,baltic sea baltic energi baltic energi island
reg,0,5.133089,5.4994326,citizen associ transform station associ energiø
reg,6,6.1287036,6.291885,offshor wind wind turbin wind farm
reg,6,6.834911,6.093722,offshor wind wind turbin wind farm
