Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
sci,1,6.2877407,4.695923,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,1,6.160108,5.1898046,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,3,5.101851,1.4289235,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,0,5.0552673,6.752977,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,4.961733,6.853053,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,3,5.282518,1.2441328,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,7,8.319705,3.7225218,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,7,8.3499,3.4585075,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,8,4.1660595,2.505025,"north sea, 0.0198 | offshore wind, 0.0195 | legal framework, 0.0185 | offshore grid, 0.0143 | offshore wind energy, 0.0133",offshore wind grid energy paper
sci,6,4.362457,4.705338,"offshore wind, 0.0159 | black start, 0.0157 | offshore power, 0.0137 | future offshore, 0.0128 | floating wind, 0.0092",offshore wind system grid transmission
sci,9,7.206029,2.9695852,"renewable energy, 0.0446 | sustainable energy, 0.0289 | model developed, 0.0202 | energy system, 0.0185 | 2017 ieee, 0.0180",energy island renewable islands system
sci,0,3.656004,6.7229915,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,7,8.255163,3.9206402,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,0,4.6090846,5.5855756,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,9,7.08957,3.1004767,"renewable energy, 0.0446 | sustainable energy, 0.0289 | model developed, 0.0202 | energy system, 0.0185 | 2017 ieee, 0.0180",energy island renewable islands system
sci,1,6.4724746,3.4918487,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,0,3.7237165,5.808685,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,4,6.557507,6.2973723,"energy islands, 0.0688 | rights reserved, 0.0523 | energy island, 0.0515 | offshore grid, 0.0444 | sea surface, 0.0440",wave grid offshore water kelvin
sci,0,4.720669,6.086509,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,4.555152,6.173135,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,3.7105997,6.725662,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,5,7.4234867,4.1722336,"energy demand, 0.0223 | energy storage, 0.0143 | renewable energy, 0.0139 | energy consumption, 0.0132 | carbon emissions, 0.0124",energy system power renewable island
sci,7,8.391592,3.5585763,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,3,4.330529,2.0606618,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,7,8.426005,3.648015,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,10,7.723535,4.935435,"numerical simulation, 0.0276 | energy source, 0.0261 | energy system, 0.0233 | electrical power, 0.0228 | hydrogen energy, 0.0208",energy system power operation based
sci,7,8.058083,3.7416496,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,10,7.7069716,4.6421485,"numerical simulation, 0.0276 | energy source, 0.0261 | energy system, 0.0233 | electrical power, 0.0228 | hydrogen energy, 0.0208",energy system power operation based
sci,2,5.624234,2.3841279,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,7,8.321753,3.6604505,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,1,5.85379,5.587956,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,0,4.818835,5.863785,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,4.7209344,5.367144,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,1,5.8919215,5.404405,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,13,4.4354405,2.9485424,"wind energy, 0.0291 | wind energy conversion, 0.0272 | energy conversion, 0.0221 | development offshore, 0.0197 | wind farms, 0.0184",offshore power wind grid energy
