Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,3,5.667,3.0710874,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,1,7.633072,3.57585,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,1,8.57954,4.4299574,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,0,7.412215,2.817562,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,0,8.08239,4.0308156,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,0,7.6723657,2.1360354,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,2,7.2083163,4.6137886,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,1,8.459978,4.882534,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,4,9.448087,3.4064198,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,2,6.129522,4.8392897,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,2,7.0862184,5.656246,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,0,7.9026437,3.2261467,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,1,8.894098,5.6464286,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,4,9.23928,3.7120428,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,2,6.582837,4.7967134,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,0,6.616834,3.0653534,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
