Topic,Probability
0,0.9766481605943891
0,1.0
0,1.0
0,1.0
0,0.9370566200846767
0,0.9852671462729194
0,0.9556015678454195
1,0.7111812961013406
0,0.907543875760741
1,1.0
1,1.0
0,0.9725204750139477
1,0.7765245322832945
1,0.9468673633484058
0,0.9072411403981411
1,1.0
1,0.9507663045475545
1,1.0
0,0.9311515342577886
1,0.8107631702956349
1,0.7089808750659664
0,1.0
0,0.8407162031886909
0,1.0
0,0.9940514790231164
0,1.0
0,0.8973782894806037
0,0.8639559206469484
0,1.0
0,1.0
-1,0.0
1,0.9386602255935512
1,0.7114191030379571
1,0.9605558781741601
0,1.0
1,0.9500561765444365
0,0.9061816616801854
-1,0.0
0,1.0
0,0.8770991755395565
0,0.9484390412460932
0,1.0
0,0.8309963390311438
1,1.0
1,1.0
0,0.9421125623068546
1,1.0
0,1.0
1,1.0
0,0.9684165823628723
1,1.0
0,1.0
0,1.0
0,0.810091021122858
1,0.8061883020097926
0,0.9783370393441251
0,1.0
0,0.8747433301255737
1,1.0
0,1.0
1,1.0
1,1.0
1,1.0
1,0.9821592358203143
1,0.9476600631368847
1,0.6852549485636971
0,1.0
1,1.0
0,0.9669509554845271
1,1.0
0,0.7921180267599875
-1,0.0
0,0.7177807710477982
1,0.9042341391473931
-1,0.0
0,1.0
1,1.0
1,1.0
1,1.0
0,0.7767925685402036
1,1.0
1,1.0
1,1.0
0,0.9401466504640977
0,0.9556015678454195
0,0.9783370393441251
0,0.9540787212476403
1,0.8319248564345366
1,0.9787116958418612
1,1.0
0,0.8963433970068635
1,0.967147185103648
1,1.0
0,1.0
1,1.0
0,0.8656214322836877
1,0.9549994852858863
1,0.8636847201249533
0,0.8113356297558185
1,0.8533834279185102
1,1.0
1,0.9983115024977492
1,0.7347121499856782
1,0.9759994624988426
0,0.8549794421401913
1,1.0
1,0.6616562411597813
0,0.9574483869153726
0,1.0
1,0.807189086620839
0,0.9757806475637362
1,0.6709927164851555
0,0.724937814066903
1,1.0
0,0.9119298730583337
1,1.0
-1,0.0
1,0.8063032368673817
0,0.6975193120108334
0,1.0
1,1.0
0,0.739681327186043
0,1.0
1,0.916707455904312
1,1.0
0,0.9401466504640977
0,0.8628428328654162
0,0.9856862976646807
1,0.9005065076294759
1,0.8221455356489934
-1,0.0
0,0.7426824909421074
1,1.0
0,0.9215462417111406
1,1.0
1,0.9558449031593406
0,0.7648996195662512
0,1.0
0,0.8080012770202972
0,1.0
1,1.0
0,0.7266359332669101
0,0.9035184262224563
0,0.7815561833452492
1,1.0
0,0.9472373160889741
0,0.7956657435070565
0,0.9786020246868943
0,0.9940514790231164
0,0.9035184262224563
-1,0.0
-1,0.0
-1,0.0
0,0.9940514790231164
0,1.0
0,1.0
1,1.0
0,0.7489925805622522
0,0.9815146471323876
0,0.8436369731460587
0,1.0
0,1.0
1,0.972561206597651
0,1.0
0,1.0
1,1.0
-1,0.0
0,0.962948238251798
1,0.9349796502566854
1,0.9119776580451859
0,0.9054461646694113
1,1.0
1,1.0
0,0.9184897653619181
0,1.0
1,0.6584505028677904
1,0.9859400654216245
1,0.882560718916576
0,1.0
1,1.0
0,0.8113356297558185
1,0.8890253185152299
0,0.9855971077680091
0,0.8152367762548456
1,0.9890959100876648
0,1.0
0,0.9353404421661812
