Topic,Probability
0,0.980559236906847
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9266592364890023
0,1.0
0,0.9635584209432959
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9990695047493258
0,1.0
-1,0.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9147058091306954
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9068862889638252
0,1.0
0,1.0
0,1.0
-1,0.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9157802270828338
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9920207723369201
0,1.0
0,0.99599339330571
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.8577108307691254
0,1.0
0,1.0
0,1.0
-1,0.0
0,1.0
0,1.0
0,1.0
0,0.821458323819507
0,1.0
0,0.9755165076240477
1,0.9223275120216925
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
-1,0.0
0,1.0
0,1.0
0,1.0
1,0.9796600526421632
0,0.8393015532574126
1,0.6605962638365288
0,1.0
0,1.0
0,0.7648560215899781
0,1.0
0,1.0
0,1.0
-1,0.0
1,1.0
-1,0.0
0,0.9655387188597969
1,0.6167132157056214
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,0.9239669501435075
0,1.0
0,1.0
0,0.9651176073893766
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,0.986795165063642
0,0.7892058534571479
0,0.898537156056557
1,0.9861254961000097
-1,0.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9431163553694519
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.8811727838309665
0,1.0
0,0.9825378603381437
-1,0.0
1,0.794979392347791
0,0.9120879460974785
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,0.7931501271901504
0,0.9016679307824529
-1,0.0
0,1.0
0,1.0
0,1.0
1,0.6007070340914321
0,0.9066472606559177
0,1.0
0,1.0
0,1.0
0,1.0
1,0.6510526261522251
0,1.0
0,1.0
-1,0.0
0,0.7764297373005943
0,0.8200973774960335
1,0.4541318227319945
0,1.0
0,1.0
0,0.9429939956410999
0,1.0
0,0.9789682832039928
0,0.8320563622137679
-1,0.0
0,0.933624896524184
0,1.0
-1,0.0
0,1.0
0,1.0
1,0.38591124230366536
0,1.0
1,0.6196622512785884
0,1.0
-1,0.0
1,0.6598220563382562
1,0.46819542326079405
0,1.0
0,1.0
-1,0.0
0,1.0
1,0.9988785748976708
1,0.9988785748976708
0,1.0
1,0.9988785748976708
1,0.8974452867362054
1,0.9265737309534112
0,1.0
0,0.9190078299771547
0,1.0
0,1.0
1,0.4684214752725001
0,1.0
0,0.8742823111095752
0,1.0
0,1.0
1,0.8412353891274348
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,0.41905278564954296
0,0.8248479394098008
0,0.9775964573138469
0,1.0
0,0.9559592189801799
1,0.9861254961000097
0,1.0
1,0.9988785748976708
1,0.9062647452491813
1,0.8732544546771984
1,0.9988785748976708
1,0.9470479275259299
0,1.0
0,1.0
1,0.6871997335792918
0,1.0
0,1.0
0,1.0
0,1.0
-1,0.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9219015926713462
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,0.5497229408459161
0,0.8697537117983132
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
1,0.9478906689043057
1,0.7101940857057637
1,0.5817920792623575
1,0.5344286419312583
1,0.8282225809989546
1,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,0.9032584841695446
-1,0.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,0.5501548833320445
-1,0.0
0,1.0
1,0.5020616650888146
0,1.0
0,1.0
1,0.8716489406175801
1,1.0
0,0.999410783183447
0,1.0
0,1.0
-1,0.0
1,0.9784138929629872
0,1.0
1,0.7934555922540891
0,1.0
0,1.0
0,0.7872846625049137
0,1.0
0,1.0
0,0.779193945268355
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.869376306176528
0,1.0
0,1.0
0,1.0
0,0.9661197581648792
0,1.0
0,1.0
0,0.9920183966973559
0,1.0
0,1.0
-1,0.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,0.8716489406175801
0,1.0
0,0.7806656469078435
0,1.0
0,1.0
0,1.0
0,0.960134075717967
0,0.8124573607858686
0,1.0
