topic_int,topic_names_from_bertopic,count,total_count,percentage
9,"38, budget, municip, save, million",1,145,0.007
9,"39, bornholm, island, energi, democraci",3,145,0.021
9,"4, wind, offshor, sea, grid",8,145,0.055
9,"40, ann, thoma, social, democraci",4,145,0.028
9,"41, govern, norway, energi, offshor",4,145,0.028
9,"42, goal, bornholm, island, energi",3,145,0.021
9,"43, wind, jrn, ole, sonn",2,145,0.014
9,"5, energi, island, climat, bornholm",2,145,0.014
9,"6, wind, energinet, turbin, offshor",5,145,0.034
9,"7, wind, offshor, area, bornholm",6,145,0.041
9,"8, energi, bornholm, island, ptx",3,145,0.021
9,"9, nuclear, energi, power, center",5,145,0.034
9,Noise,1,145,0.007
