0,1,2,3,4,5,6,7,8,9
0.15977602791724307,0.0,0.01852975085063898,0.02865261143354373,0.0,0.0,0.0,0.0,0.0,0.0
0.03613540254088255,0.0,0.0,0.05637106142859526,0.0029321645080102945,0.0,0.0,0.05951554405604072,0.0,0.0
0.04164244332422145,0.029833746106928162,0.0,0.00732240627311992,0.001939387018376467,0.08254285189406928,0.22524340516268063,0.028988746748706638,0.0,0.0
0.05951065634492432,0.0,0.0,0.0,0.08102505706589078,0.0,0.03035373589495452,0.07048046072201569,0.0,0.0
0.02040436530348485,0.0,0.03448842760380228,0.09291232986319373,0.1224601958726546,0.03371489601276123,0.0,0.0036768427297343034,0.0,0.0
0.022917889286069793,0.16877151385891861,0.0,0.0,0.014310467463194821,0.07621618001140194,0.0,0.10491503476772261,0.0,0.004874866922507997
0.039094037362996034,0.05055458786697781,0.02722685497326272,0.030877132346122216,0.02777252276334556,0.023740306674922728,0.0,0.0,0.0006548751538569629,0.00988449982691266
0.02405203420674453,0.011832762463729201,0.03208826704482881,0.020021718978611873,0.021765980362335083,0.02091448907804926,0.0,0.12173563657850889,0.0,0.0
0.025332883591019033,0.050753050137253945,0.0,0.0,0.0055949334746132895,0.15535634344994542,0.0,0.007492907423523942,0.0007538581531850853,0.0
0.0,0.0,0.00033711161633005873,0.0,0.0,0.2748620049455338,0.016240947127835793,0.0,0.0,0.0020941424642060376
0.0,0.079998536731247,0.0,0.0016390757899353908,0.07251610656045276,0.1593424321111671,0.0,0.0,0.003917839747505956,0.018091671749514877
0.011235165606905849,0.17815702796374153,0.0,0.020443566791151203,0.017922378156495784,0.0,0.0,0.06863243813120501,0.0,0.0
0.05093757681512277,0.08067596089406338,0.0,0.0775927215678179,0.027122488344148852,0.032097931972272925,0.008676563006592274,0.0,0.0011047144971262776,0.0
0.1104005219374542,0.0,0.0,0.012136041814264665,0.1403648730603274,0.0,0.0,0.0,0.0,0.0
0.047191393015736875,0.011513636046620973,0.0,0.0,0.056890354145382314,0.06245319919242777,0.029245672387685197,0.13497701107625187,0.0011282657978241306,0.030631231118111415
0.02405203420674453,0.011832762463729201,0.03208826704482881,0.020021718978611873,0.021765980362335083,0.02091448907804926,0.0,0.12173563657850889,0.0,0.0
0.0653947456096995,0.06274521661281743,0.013646590036309041,0.0,0.05987240398272789,0.04502113092745492,0.019683971440031627,0.057663367911367384,0.0011100316673937041,0.0
0.0,0.03655006286923198,0.00027782204196235037,0.022168144000754664,0.03290645434551173,0.21525425611844412,0.0014896679643876427,0.052423027607028515,0.0010067518884177907,0.0030602752942303136
0.0013492128141663765,0.28360043321109446,0.0054636883418036995,0.0205267922763217,0.023328976151129437,0.036969938623402386,0.0366737528134294,0.03606393767882086,0.0,0.0
0.0018796222399799067,0.007896776768853569,0.00047308642193121615,0.0,0.001978870087576034,0.0,0.005512430467553997,0.0015014406828526713,0.5411956333314749,0.0
0.0,0.0014322802328457294,0.036978387278215855,0.06781158874852103,0.07159550982548063,0.0,0.0,0.1017110812277323,0.0,0.0
0.065750363087124,0.00939585766463898,0.0,0.013152395155047259,0.041434832724699625,0.022666768015541558,0.0,0.0,0.0007198443699327005,0.03397101840964778
0.0,0.28155861510486757,0.0,0.04938476644057003,0.0,0.01250325970396586,0.020735903218497827,0.0015553981209664354,0.0,0.0
